Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5626467,"RHO GTPases activate IQGAPs",2,36,0.002522598276224511,0.014852774419144898,0.08630585497104215,1,5,3.682698681593872E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-5672329"
R-HSA-5686938,"Regulation of TLR by endogenous ligand",2,36,0.002522598276224511,0.014852774419144898,0.08630585497104215,2,12,8.838476835825292E-4,9606,Homo sapiens,"PSAP","","R-HSA-5432852;R-HSA-5432814"
R-HSA-9694548,"Maturation of spike protein",2,36,0.002522598276224511,0.014852774419144898,0.08630585497104215,1,11,8.101937099506518E-4,9606,Homo sapiens,"RPN1;DDOST","","R-HSA-9694793"
R-HSA-389958,"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding",2,37,0.002592670450564081,0.015638135653492036,0.08630585497104215,4,6,4.419238417912646E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-389970;R-HSA-389954;R-HSA-389980;R-HSA-389961"
R-HSA-5694530,"Cargo concentration in the ER",2,37,0.002592670450564081,0.015638135653492036,0.08630585497104215,2,12,8.838476835825292E-4,9606,Homo sapiens,"TMED10;TMED2","","R-HSA-5694522;R-HSA-5694410"
R-HSA-391251,"Protein folding",3,102,0.007147361782636115,0.01566332992276276,0.08630585497104215,11,28,0.0020623112616925685,9606,Homo sapiens,"TUBA1A;GAPDH;TUBA4A","","R-HSA-389972;R-HSA-389974;R-HSA-390470;R-HSA-389970;R-HSA-389954;R-HSA-389980;R-HSA-389964;R-HSA-389961;R-HSA-389976;R-HSA-389963;R-HSA-389978"
R-HSA-917977,"Transferrin endocytosis and recycling",2,39,0.0027328147992432207,0.01726117099420843,0.08630585497104215,2,11,8.101937099506518E-4,9606,Homo sapiens,"ATP6AP1;ATP6V0E2","","R-HSA-5252133;R-HSA-917841"
R-HSA-9668328,"Sealing of the nuclear envelope (NE) by ESCRT-III",2,39,0.0027328147992432207,0.01726117099420843,0.08630585497104215,1,7,5.155778154231421E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-9668419"
R-HSA-2467813,"Separation of Sister Chromatids",4,195,0.013664073996216103,0.017997496198187912,0.08998748099093956,3,8,5.892317890550195E-4,9606,Homo sapiens,"TUBA1A;PSMC3;RPN1;TUBA4A","","R-HSA-2467809;R-HSA-2467811;R-HSA-174202"
R-HSA-1236975,"Antigen processing-Cross presentation",4,195,0.013664073996216103,0.017997496198187912,0.08998748099093956,5,23,0.0016940413935331812,9606,Homo sapiens,"PDIA3;SEC61A1;PSMC3;RPN1","","R-HSA-1236947;R-HSA-8863973;R-HSA-1236935;R-HSA-1236970;R-HSA-1236971"
R-HSA-8957275,"Post-translational protein phosphorylation",3,109,0.007637867003013103,0.01863885191033987,0.09319425955169935,1,1,7.365397363187744E-5,9606,Homo sapiens,"P4HB;PDIA6;PRSS23","","R-HSA-8952289"
R-HSA-901042,"Calnexin/calreticulin cycle",2,41,0.00287295914792236,0.01895267152905633,0.09476335764528165,3,13,9.575016572144067E-4,9606,Homo sapiens,"PDIA3;OS9","","R-HSA-548890;R-HSA-901047;R-HSA-8867288"
R-HSA-190861,"Gap junction assembly",2,41,0.00287295914792236,0.01895267152905633,0.09476335764528165,3,16,0.001178463578110039,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-190520;R-HSA-191737;R-HSA-190877"
R-HSA-168277,"Influenza Virus Induced Apoptosis",1,4,2.8028869735827904E-4,0.020255977480317933,0.09522367650340402,1,2,1.4730794726375488E-4,9606,Homo sapiens,"SLC25A6","","R-HSA-168878"
R-HSA-1799339,"SRP-dependent cotranslational protein targeting to membrane",3,119,0.0083385887464088,0.02339785716469389,0.09522367650340402,2,5,3.682698681593872E-4,9606,Homo sapiens,"SEC61A1;RPN1;DDOST","","R-HSA-1799326;R-HSA-1799329"
R-HSA-69275,"G2/M Transition",4,212,0.014855300959988788,0.023581222691163806,0.09522367650340402,18,78,0.00574500994328644,9606,Homo sapiens,"TUBA1A;PSMC3;RPN1;TUBA4A","","R-HSA-380455;R-HSA-380294;R-HSA-8852354;R-HSA-380303;R-HSA-8853419;R-HSA-8852298;R-HSA-8854071;R-HSA-3000319;R-HSA-380311;R-HSA-380272;R-HSA-8852306;R-HSA-2574845;R-HSA-8853405;R-HSA-3000310;R-HSA-8854044;R-HSA-380283;R-HSA-2574840;R-HSA-8852280"
R-HSA-453274,"Mitotic G2-G2/M phases",4,214,0.014995445308667928,0.024299981409705795,0.09522367650340402,18,80,0.005892317890550195,9606,Homo sapiens,"TUBA1A;PSMC3;RPN1;TUBA4A","","R-HSA-380455;R-HSA-380294;R-HSA-8852354;R-HSA-380303;R-HSA-8853419;R-HSA-8852298;R-HSA-8854071;R-HSA-3000319;R-HSA-380311;R-HSA-380272;R-HSA-8852306;R-HSA-2574845;R-HSA-8853405;R-HSA-3000310;R-HSA-8854044;R-HSA-380283;R-HSA-2574840;R-HSA-8852280"
R-HSA-9646399,"Aggrephagy",2,47,0.0032933921939597784,0.024422861025793052,0.09522367650340402,4,15,0.0011048096044781615,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-9646679;R-HSA-9646390;R-HSA-9646383;R-HSA-9646685"
R-HSA-176033,"Interactions of Vpr with host cellular proteins",2,47,0.0032933921939597784,0.024422861025793052,0.09522367650340402,1,4,2.9461589452750976E-4,9606,Homo sapiens,"SLC25A6","","R-HSA-180905"
R-HSA-382556,"ABC-family proteins mediated transport",3,122,0.008548805269427511,0.02494251405274428,0.09522367650340402,4,27,0.0019886572880606908,9606,Homo sapiens,"OS9;PSMC3;RPN1","","R-HSA-8866551;R-HSA-8866546;R-HSA-8866542;R-HSA-8866553"
R-HSA-168256,"Immune System",21,2684,0.18807371592740524,0.025520660048255928,0.09522367650340402,39,1623,0.11954039920453709,9606,Homo sapiens,"CHGA;PDIA3;ARF1;XRCC6;RPN1;SURF4;TUBA4A;PLD3;DDOST;SEC61A1;PGRMC1;CYB5R3;TUBA1A;PSMC3;PSAP;P4HB;ATP6V0E2","","R-HSA-1236947;R-HSA-2029471;R-HSA-8951498;R-HSA-8951499;R-HSA-5432852;R-HSA-3134821;R-HSA-6808566;R-HSA-1168640;R-HSA-6799350;R-HSA-6800434;R-HSA-1236935;R-HSA-8950173;R-HSA-5668481;R-HSA-166041;R-HSA-2130619;R-HSA-1834939;R-HSA-2213248;R-HSA-983150;R-HSA-8863973;R-HSA-983148;R-HSA-983146;R-HSA-1222516;R-HSA-5607731;R-HSA-209061;R-HSA-8950113;R-HSA-983142;R-HSA-8950183;R-HSA-8950456;R-HSA-879358;R-HSA-6798739;R-HSA-168951;R-HSA-983161;R-HSA-1236970;R-HSA-6798751;R-HSA-5607724;R-HSA-1236971;R-HSA-6798748;R-HSA-5432814;R-HSA-5668520"
R-HSA-9609736,"Assembly and cell surface presentation of NMDA receptors",2,49,0.0034335365426389182,0.0263732335801814,0.09522367650340402,2,23,0.0016940413935331812,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-9610627;R-HSA-9610408"
R-HSA-211733,"Regulation of activated PAK-2p34 by proteasome mediated degradation",2,50,0.003503608716978488,0.02737141504604801,0.09522367650340402,1,2,1.4730794726375488E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-211715"
R-HSA-381426,"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",3,127,0.00889916614112536,0.027636829331387114,0.09522367650340402,1,14,0.0010311556308462842,9606,Homo sapiens,"P4HB;PDIA6;PRSS23","","R-HSA-8952289"
R-HSA-350562,"Regulation of ornithine decarboxylase (ODC)",2,51,0.0035736808913180576,0.028384690418091996,0.09522367650340402,1,4,2.9461589452750976E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-353125"
R-HSA-190828,"Gap junction trafficking",2,52,0.0036437530656576273,0.02941288423773103,0.09522367650340402,3,20,0.0014730794726375489,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-190520;R-HSA-191737;R-HSA-190877"
R-HSA-180534,"Vpu mediated degradation of CD4",2,53,0.003713825239997197,0.03045582240046607,0.09522367650340402,1,5,3.682698681593872E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-180573"
R-HSA-1236978,"Cross-presentation of soluble exogenous antigens (endosomes)",2,53,0.003713825239997197,0.03045582240046607,0.09522367650340402,1,6,4.419238417912646E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-1236970"
R-HSA-69601,"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A",2,54,0.0037838974143367668,0.031513332146953954,0.09522367650340402,1,4,2.9461589452750976E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-69600"
R-HSA-69613,"p53-Independent G1/S DNA damage checkpoint",2,54,0.0037838974143367668,0.031513332146953954,0.09522367650340402,1,4,2.9461589452750976E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-69600"
R-HSA-69610,"p53-Independent DNA Damage Response",2,54,0.0037838974143367668,0.031513332146953954,0.09522367650340402,1,4,2.9461589452750976E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-69600"
R-HSA-75815,"Ubiquitin-dependent degradation of Cyclin D",2,54,0.0037838974143367668,0.031513332146953954,0.09522367650340402,1,5,3.682698681593872E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-75825"
R-HSA-169911,"Regulation of Apoptosis",2,54,0.0037838974143367668,0.031513332146953954,0.09522367650340402,1,5,3.682698681593872E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-211715"
R-HSA-349425,"Autodegradation of the E3 ubiquitin ligase COP1",2,54,0.0037838974143367668,0.031513332146953954,0.09522367650340402,1,5,3.682698681593872E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-264458"
R-HSA-8955332,"Carboxyterminal post-translational modifications of tubulin",2,55,0.0038539695886763365,0.03258524205411728,0.09522367650340402,6,6,4.419238417912646E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-8955706;R-HSA-8955869;R-HSA-8955712;R-HSA-8865774;R-HSA-8867370;R-HSA-8866105"
R-HSA-8854050,"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis",2,55,0.0038539695886763365,0.03258524205411728,0.09522367650340402,2,6,4.419238417912646E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-8854071;R-HSA-8854044"
R-HSA-174113,"SCF-beta-TrCP mediated degradation of Emi1",2,55,0.0038539695886763365,0.03258524205411728,0.09522367650340402,1,3,2.209619208956323E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-174203"
R-HSA-437239,"Recycling pathway of L1",2,55,0.0038539695886763365,0.03258524205411728,0.09522367650340402,2,14,0.0010311556308462842,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-445077;R-HSA-445071"
R-HSA-5620924,"Intraflagellar transport",2,56,0.003924041763015906,0.03367138202630826,0.09522367650340402,6,12,8.838476835825292E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-5624949;R-HSA-5625424;R-HSA-5625426;R-HSA-5625421;R-HSA-5624952;R-HSA-5625416"
R-HSA-450408,"AUF1 (hnRNP D0) binds and destabilizes mRNA",2,56,0.003924041763015906,0.03367138202630826,0.09522367650340402,1,4,2.9461589452750976E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-450466"
R-HSA-180585,"Vif-mediated degradation of APOBEC3G",2,56,0.003924041763015906,0.03367138202630826,0.09522367650340402,1,4,2.9461589452750976E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-180603"
R-HSA-157858,"Gap junction trafficking and regulation",2,56,0.003924041763015906,0.03367138202630826,0.09522367650340402,3,24,0.0017676953671650585,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-190520;R-HSA-191737;R-HSA-190877"
R-HSA-4641258,"Degradation of DVL",2,57,0.003994113937355476,0.03477158328654262,0.09522367650340402,2,7,5.155778154231421E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-1504193;R-HSA-4641260"
R-HSA-4641257,"Degradation of AXIN",2,57,0.003994113937355476,0.03477158328654262,0.09522367650340402,2,8,5.892317890550195E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-3640874;R-HSA-4641256"
R-HSA-532668,"N-glycan trimming in the ER and Calnexin/Calreticulin cycle",2,57,0.003994113937355476,0.03477158328654262,0.09522367650340402,3,18,0.0013257715253737938,9606,Homo sapiens,"PDIA3;OS9","","R-HSA-548890;R-HSA-901047;R-HSA-8867288"
R-HSA-9604323,"Negative regulation of NOTCH4 signaling",2,57,0.003994113937355476,0.03477158328654262,0.09522367650340402,1,6,4.419238417912646E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-9604642"
R-HSA-8941858,"Regulation of RUNX3 expression and activity",2,57,0.003994113937355476,0.03477158328654262,0.09522367650340402,1,9,6.628857626868969E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-8952408"
R-HSA-68827,"CDT1 association with the CDC6:ORC:origin complex",2,59,0.004134258286034615,0.037013501104172564,0.09522367650340402,1,3,2.209619208956323E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-68825"
R-HSA-69541,"Stabilization of p53",2,59,0.004134258286034615,0.037013501104172564,0.09522367650340402,1,15,0.0011048096044781615,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-264458"
R-HSA-8932339,"ROS sensing by NFE2L2",2,60,0.004204330460374185,0.03815488662261812,0.09522367650340402,1,8,5.892317890550195E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-8932355"
R-HSA-68882,"Mitotic Anaphase",4,249,0.01744797141055287,0.03905226530754646,0.09522367650340402,4,32,0.002356927156220078,9606,Homo sapiens,"TUBA1A;PSMC3;RPN1;TUBA4A","","R-HSA-9668419;R-HSA-2467809;R-HSA-2467811;R-HSA-174202"
R-HSA-432722,"Golgi Associated Vesicle Biogenesis",2,61,0.004274402634713756,0.03930967133402019,0.09522367650340402,4,7,5.155778154231421E-4,9606,Homo sapiens,"TPD52;ARF1","","R-HSA-421831;R-HSA-421836;R-HSA-421835;R-HSA-421833"
R-HSA-5676590,"NIK-->noncanonical NF-kB signaling",2,61,0.004274402634713756,0.03930967133402019,0.09522367650340402,1,9,6.628857626868969E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-5607731"
R-HSA-2555396,"Mitotic Metaphase and Anaphase",4,250,0.01751804358489244,0.03953501210026322,0.09522367650340402,4,33,0.0024305811298519554,9606,Homo sapiens,"TUBA1A;PSMC3;RPN1;TUBA4A","","R-HSA-9668419;R-HSA-2467809;R-HSA-2467811;R-HSA-174202"
R-HSA-5610780,"Degradation of GLI1 by the proteasome",2,62,0.004344474809053325,0.04047769292485215,0.09522367650340402,2,6,4.419238417912646E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-5610758;R-HSA-5610760"
R-HSA-5610785,"GLI3 is processed to GLI3R by the proteasome",2,62,0.004344474809053325,0.04047769292485215,0.09522367650340402,1,5,3.682698681593872E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-5610754"
R-HSA-5610783,"Degradation of GLI2 by the proteasome",2,62,0.004344474809053325,0.04047769292485215,0.09522367650340402,1,5,3.682698681593872E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-5610757"
R-HSA-187577,"SCF(Skp2)-mediated degradation of p27/p21",2,62,0.004344474809053325,0.04047769292485215,0.09522367650340402,1,7,5.155778154231421E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-187574"
R-HSA-2132295,"MHC class II antigen presentation",3,149,0.010440753976595893,0.04125669150283684,0.09522367650340402,3,26,0.0019150033144288135,9606,Homo sapiens,"ARF1;TUBA1A;TUBA4A","","R-HSA-2213248;R-HSA-8951498;R-HSA-2130619"
R-HSA-6811436,"COPI-independent Golgi-to-ER retrograde traffic",2,63,0.004414546983392895,0.04165879034868902,0.09522367650340402,2,7,5.155778154231421E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-8849350;R-HSA-8849353"
R-HSA-174084,"Autodegradation of Cdh1 by Cdh1:APC/C",2,64,0.004484619157732465,0.04285280381778067,0.09522367650340402,1,2,1.4730794726375488E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-174058"
R-HSA-109606,"Intrinsic Pathway for Apoptosis",2,64,0.004484619157732465,0.04285280381778067,0.09522367650340402,4,62,0.004566546365176402,9606,Homo sapiens,"YWHAQ;C1QBP","","R-HSA-139906;R-HSA-139899;R-HSA-9645694;R-HSA-9645692"
R-HSA-69481,"G2/M Checkpoints",3,154,0.010791114848293742,0.04474689491505235,0.09522367650340402,2,24,0.0017676953671650585,9606,Homo sapiens,"PSMC3;YWHAQ;RPN1","","R-HSA-8852354;R-HSA-75016"
R-HSA-8866423,"VLDL assembly",1,9,6.306495690561278E-4,0.045007642724570696,0.09522367650340402,1,5,3.682698681593872E-4,9606,Homo sapiens,"P4HB","","R-HSA-8866329"
R-HSA-4608870,"Asymmetric localization of PCP proteins",2,66,0.004624763506411604,0.04527894598404225,0.09522367650340402,1,7,5.155778154231421E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-4608855"
R-HSA-5607761,"Dectin-1 mediated noncanonical NF-kB signaling",2,66,0.004624763506411604,0.04527894598404225,0.09522367650340402,1,9,6.628857626868969E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-5607731"
R-HSA-70263,"Gluconeogenesis",2,66,0.004624763506411604,0.04527894598404225,0.09522367650340402,1,26,0.0019150033144288135,9606,Homo sapiens,"GAPDH","","R-HSA-70482"
R-HSA-174154,"APC/C:Cdc20 mediated degradation of Securin",2,68,0.0047649078550907435,0.0477548659788396,0.09522367650340402,1,3,2.209619208956323E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-174202"
R-HSA-983189,"Kinesins",2,68,0.0047649078550907435,0.0477548659788396,0.09522367650340402,2,14,0.0010311556308462842,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-983259;R-HSA-983266"
R-HSA-1268020,"Mitochondrial protein import",2,69,0.004834980029430313,0.04901110632942518,0.09522367650340402,3,14,0.0010311556308462842,9606,Homo sapiens,"ATP5F1A;SLC25A6","","R-HSA-1268022;R-HSA-1955380;R-HSA-1299481"
R-HSA-8964041,"LDL remodeling",1,10,7.007217433956976E-4,0.04988344985031212,0.09522367650340402,1,3,2.209619208956323E-4,9606,Homo sapiens,"P4HB","","R-HSA-9737780"
R-HSA-167590,"Nef Mediated CD4 Down-regulation",1,10,7.007217433956976E-4,0.04988344985031212,0.09522367650340402,1,5,3.682698681593872E-4,9606,Homo sapiens,"ARF1","","R-HSA-200879"
R-HSA-69580,"p53-Dependent G1/S DNA damage checkpoint",2,70,0.004905052203769883,0.05027932996641171,0.09522367650340402,1,22,0.0016203874199013037,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-264458"
R-HSA-69563,"p53-Dependent G1 DNA Damage Response",2,70,0.004905052203769883,0.05027932996641171,0.09522367650340402,1,22,0.0016203874199013037,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-264458"
R-HSA-380284,"Loss of proteins required for interphase microtubule organization from the centrosome",2,71,0.004975124378109453,0.051559385681525516,0.09522367650340402,3,3,2.209619208956323E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-380294;R-HSA-380272;R-HSA-380303"
R-HSA-380259,"Loss of Nlp from mitotic centrosomes",2,71,0.004975124378109453,0.051559385681525516,0.09522367650340402,2,2,1.4730794726375488E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-380272;R-HSA-380303"
R-HSA-5658442,"Regulation of RAS by GAPs",2,71,0.004975124378109453,0.051559385681525516,0.09522367650340402,1,5,3.682698681593872E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-5658430"
R-HSA-1169091,"Activation of NF-kappaB in B cells",2,72,0.005045196552449022,0.05285112345969645,0.09522367650340402,1,10,7.365397363187744E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-1168640"
R-HSA-1234176,"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",2,72,0.005045196552449022,0.05285112345969645,0.09522367650340402,1,12,8.838476835825292E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-1234159"
R-HSA-69615,"G1/S DNA Damage Checkpoints",2,72,0.005045196552449022,0.05285112345969645,0.09522367650340402,2,26,0.0019150033144288135,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-69600;R-HSA-264458"
R-HSA-3371497,"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",2,72,0.005045196552449022,0.05285112345969645,0.09522367650340402,1,16,0.001178463578110039,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-5618080"
R-HSA-174184,"Cdc20:Phospho-APC/C mediated degradation of Cyclin A",2,73,0.005115268726788592,0.05415439447107817,0.09522367650340402,1,3,2.209619208956323E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-174255"
R-HSA-68949,"Orc1 removal from chromatin",2,73,0.005115268726788592,0.05415439447107817,0.09522367650340402,1,4,2.9461589452750976E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-68948"
R-HSA-8950505,"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",2,73,0.005115268726788592,0.05415439447107817,0.09522367650340402,1,36,0.0026515430507475877,9606,Homo sapiens,"ARF1","","R-HSA-8950173"
R-HSA-9694635,"Translation of Structural Proteins",2,73,0.005115268726788592,0.05415439447107817,0.09522367650340402,1,43,0.00316712086617073,9606,Homo sapiens,"RPN1;DDOST","","R-HSA-9694793"
R-HSA-163680,"AMPK inhibits chREBP transcriptional activation activity",1,11,7.707939177352673E-4,0.05473470235904987,0.09522367650340402,2,4,2.9461589452750976E-4,9606,Homo sapiens,"ADIPOR1","","R-HSA-8848663;R-HSA-163691"
R-HSA-9020933,"Interleukin-23 signaling",1,11,7.707939177352673E-4,0.05473470235904987,0.09522367650340402,1,12,8.838476835825292E-4,9606,Homo sapiens,"P4HB","","R-HSA-8950183"
R-HSA-8854518,"AURKA Activation by TPX2",2,74,0.005185340901128162,0.05546905106314948,0.09522367650340402,2,2,1.4730794726375488E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-8853405;R-HSA-8853419"
R-HSA-174178,"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",2,74,0.005185340901128162,0.05546905106314948,0.09522367650340402,2,6,4.419238417912646E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-174105;R-HSA-188191"
R-HSA-179419,"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",2,74,0.005185340901128162,0.05546905106314948,0.09522367650340402,1,6,4.419238417912646E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-174255"
R-HSA-8948751,"Regulation of PTEN stability and activity",2,74,0.005185340901128162,0.05546905106314948,0.09522367650340402,1,13,9.575016572144067E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-8850992"
R-HSA-382551,"Transport of small molecules",9,961,0.06733935954032653,0.056120315523484066,0.09522367650340402,12,443,0.03262871031892171,9606,Homo sapiens,"ATP6AP1;OS9;PSMC3;SLC7A8;RPN1;P4HB;ATP6V0E2;SLC25A6","","R-HSA-9737780;R-HSA-174786;R-HSA-8866551;R-HSA-5252133;R-HSA-8866546;R-HSA-174741;R-HSA-8866542;R-HSA-352191;R-HSA-163215;R-HSA-8866329;R-HSA-8866553;R-HSA-917841"
R-HSA-69017,"CDK-mediated phosphorylation and removal of Cdc6",2,75,0.0052554130754677315,0.05679494675283048,0.09522367650340402,1,4,2.9461589452750976E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-69016"
R-HSA-9707587,"Regulation of HMOX1 expression and activity",2,75,0.0052554130754677315,0.05679494675283048,0.09522367650340402,1,19,0.0013994254990056714,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-8932355"
R-HSA-176409,"APC/C:Cdc20 mediated degradation of mitotic proteins",2,76,0.005325485249807301,0.05813193621867896,0.09522367650340402,2,13,9.575016572144067E-4,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-174202;R-HSA-174255"
R-HSA-204005,"COPII-mediated vesicle transport",2,77,0.005395557424146871,0.05947987529311216,0.09522367650340402,10,16,0.001178463578110039,9606,Homo sapiens,"TMED10;TMED2","","R-HSA-5694439;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-5694446;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694441;R-HSA-5694409"
R-HSA-176814,"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",2,77,0.005395557424146871,0.05947987529311216,0.09522367650340402,2,15,0.0011048096044781615,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-174202;R-HSA-174255"
R-HSA-418889,"Caspase activation via Dependence Receptors in the absence of ligand",1,12,8.408660920748371E-4,0.059561522199176986,0.09522367650340402,1,8,5.892317890550195E-4,9606,Homo sapiens,"MAGED1","","R-HSA-374699"
R-HSA-76002,"Platelet activation, signaling and aggregation",4,293,0.02053114708149394,0.06352953076185275,0.09522367650340402,3,116,0.008543860941297783,9606,Homo sapiens,"PSAP;TAGLN2;MAGED2;TUBA4A","","R-HSA-482772;R-HSA-481007;R-HSA-351341"
R-HSA-199992,"trans-Golgi Network Vesicle Budding",2,80,0.005605773947165581,0.06358796563807267,0.09522367650340402,7,19,0.0013994254990056714,9606,Homo sapiens,"TPD52;ARF1","","R-HSA-421831;R-HSA-432706;R-HSA-350769;R-HSA-421836;R-HSA-421835;R-HSA-432712;R-HSA-421833"
R-HSA-351202,"Metabolism of polyamines",2,80,0.005605773947165581,0.06358796563807267,0.09522367650340402,1,17,0.0012521175517419166,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-353125"
R-HSA-164843,"2-LTR circle formation",1,13,9.109382664144068E-4,0.06436403072192853,0.09522367650340402,3,3,2.209619208956323E-4,9606,Homo sapiens,"XRCC6","","R-HSA-175174;R-HSA-175258;R-HSA-175177"
R-HSA-380270,"Recruitment of mitotic centrosome proteins and complexes",2,81,0.005675846121505151,0.0649782842788259,0.09522367650340402,3,3,2.209619208956323E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-380311;R-HSA-380455;R-HSA-380283"
R-HSA-380287,"Centrosome maturation",2,83,0.00581599047018429,0.06778952158490048,0.09522367650340402,6,6,4.419238417912646E-4,9606,Homo sapiens,"TUBA1A;TUBA4A","","R-HSA-380311;R-HSA-380455;R-HSA-380294;R-HSA-380272;R-HSA-380303;R-HSA-380283"
R-HSA-8939902,"Regulation of RUNX2 expression and activity",2,83,0.00581599047018429,0.06778952158490048,0.09522367650340402,4,32,0.002356927156220078,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-8939801;R-HSA-9008475;R-HSA-9008110;R-HSA-9009362"
R-HSA-176408,"Regulation of APC/C activators between G1/S and early anaphase",2,83,0.00581599047018429,0.06778952158490048,0.09522367650340402,1,14,0.0010311556308462842,9606,Homo sapiens,"PSMC3;RPN1","","R-HSA-174203"
R-HSA-917937,"Iron uptake and transport",2,83,0.00581599047018429,0.06778952158490048,0.09522367650340402,2,34,0.002504235103483833,9606,Homo sapiens,"ATP6AP1;ATP6V0E2","","R-HSA-5252133;R-HSA-917841"
