Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,transf log(1/p val),Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5218859,Regulated Necrosis,2,28,0.001965188,0.642115935,,0.792222339,5,13,0.001056224,9606,Homo sapiens,Casp8;Tnfsf10,,R-HSA-3465429;R-HSA-5357828;R-HSA-5675456;R-HSA-5213462;R-HSA-2672196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5213460,RIPK1-mediated regulated necrosis,2,28,0.001965188,0.642115935,,0.792222339,5,13,0.001056224,9606,Homo sapiens,Casp8;Tnfsf10,,R-HSA-3465429;R-HSA-5357828;R-HSA-5675456;R-HSA-5213462;R-HSA-2672196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-74182,Ketone body metabolism,2,28,0.001965188,0.642115935,,0.792222339,3,11,8.94E-04,9606,Homo sapiens,Hmgcll1;Acat1,,R-HSA-6788597;R-HSA-74181;R-HSA-73916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-429947,Deadenylation of mRNA,2,28,0.001965188,0.642115935,,0.792222339,1,4,3.25E-04,9606,Homo sapiens,Cnot6l;Cnot7,,R-HSA-429955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-2173788,Downregulation of TGF-beta receptor signaling,2,28,0.001965188,0.642115935,,0.792222339,6,28,0.002274943,9606,Homo sapiens,Ppp1cb;Nedd4l,,R-HSA-178178;R-HSA-2176417;R-HSA-2176416;R-HSA-178218;R-HSA-2169050;R-HSA-178189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-8964038,LDL clearance,2,28,0.001965188,0.642115935,,0.792222339,2,19,0.001543711,9606,Homo sapiens,Soat1;Lipa;Acat1,,R-HSA-8865667;R-HSA-8876696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-6803205,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,2,28,0.001965188,0.642115935,,0.792222339,2,19,0.001543711,9606,Homo sapiens,Bcl2l14,,R-HSA-6791327;R-HSA-6791323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-936837,Ion transport by P-type ATPases,5,71,0.004983156,0.649469398,,0.792222339,5,14,0.001137472,9606,Homo sapiens,Cutc;Atp2c1;Atp1b2;Atp11c;Atp8a2,,R-HSA-5334788;R-HSA-947591;R-HSA-939763;R-HSA-936883;R-HSA-936897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9616222,Transcriptional regulation of granulopoiesis,5,71,0.004983156,0.649469398,,0.792222339,5,27,0.002193695,9606,Homo sapiens,Il6ra;Hist2h2be;E2f1;Tfdp2,,R-HSA-9618582;R-HSA-8865505;R-HSA-9618586;R-HSA-9634430;R-HSA-9634445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,6,85,0.00596575,0.650810282,,0.792222339,58,60,0.004874878,9606,Homo sapiens,Abca1;Nr1h3,,R-HSA-9029517;R-HSA-9035279;R-HSA-9024386;R-HSA-9035143;R-HSA-9029531;R-HSA-9035167;R-HSA-9029521;R-HSA-9035281;R-HSA-9028525;R-HSA-9618486;R-HSA-9035180;R-HSA-9028524;R-HSA-9029551;R-HSA-9028526;R-HSA-9035169;R-HSA-9657786;R-HSA-9029536;R-HSA-9605051;R-HSA-9657791;R-HSA-9605052;R-HSA-9029561;R-HSA-9624353;R-HSA-9657767;R-HSA-9029566;R-HSA-9035185;R-HSA-9029555;R-HSA-9607342;R-HSA-9657775;R-HSA-9028533;R-HSA-9618479;R-HSA-9619756;R-HSA-9624365;R-HSA-9029580;R-HSA-9024334;R-HSA-9618394;R-HSA-9024326;R-HSA-9624925;R-HSA-9031512;R-HSA-9631296;R-HSA-9605056;R-HSA-9605057;R-HSA-9623366;R-HSA-9605063;R-HSA-9605060;R-HSA-9031518;R-HSA-9623365;R-HSA-9038545;R-HSA-9029591;R-HSA-9031510;R-HSA-9024361;R-HSA-9608048;R-HSA-9031521;R-HSA-9031522;R-HSA-9031527;R-HSA-9035133;R-HSA-9608039;R-HSA-9618407;R-HSA-9657836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-432720,Lysosome Vesicle Biogenesis,3,43,0.003017967,0.652094246,,0.792222339,5,8,6.50E-04,9606,Homo sapiens,Ap1s3;Ap1s2,,R-HSA-432706;R-HSA-432707;R-HSA-432688;R-HSA-5333658;R-HSA-432712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-912526,Interleukin receptor SHC signaling,2,29,0.002035373,0.660906167,,0.792222339,6,6,4.87E-04,9606,Homo sapiens,Jak2;Pik3r3,,R-HSA-508247;R-HSA-453111;R-HSA-912527;R-HSA-913374;R-HSA-453104;R-HSA-913424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),2,29,0.002035373,0.660906167,,0.792222339,6,11,8.94E-04,9606,Homo sapiens,Rps6ka5;Rps6ka2,,R-HSA-199895;R-HSA-199910;R-HSA-198756;R-HSA-198746;R-HSA-199935;R-HSA-198669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-211935,Fatty acids,2,29,0.002035373,0.660906167,,0.792222339,2,4,3.25E-04,9606,Homo sapiens,Cyp4b1;Cyp4f39,,R-HSA-76466;R-HSA-211924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,2,29,0.002035373,0.660906167,,0.792222339,3,12,9.75E-04,9606,Homo sapiens,Egf;Akt3,,R-HSA-199298;R-HSA-9625465;R-HSA-9624526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-392451,G beta:gamma signalling through PI3Kgamma,2,29,0.002035373,0.660906167,,0.792222339,1,4,3.25E-04,9606,Homo sapiens,Akt3;Pdk1,,R-HSA-9603279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1369062,ABC transporters in lipid homeostasis,2,29,0.002035373,0.660906167,,0.792222339,2,11,8.94E-04,9606,Homo sapiens,Abcd2;Abcd3,,R-HSA-382613;R-HSA-382575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-8854691,Interleukin-20 family signaling,2,29,0.002035373,0.660906167,,0.792222339,8,56,0.004549886,9606,Homo sapiens,Stat5b;Jak2,,R-HSA-8986985;R-HSA-8987033;R-HSA-8987179;R-HSA-8987104;R-HSA-8987266;R-HSA-8987141;R-HSA-8987156;R-HSA-8987220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5362517,Signaling by Retinoic Acid,5,72,0.005053341,0.661386874,,0.792222339,4,21,0.001706207,9606,Homo sapiens,Dhrs3;Cpt1a;Adh1;Pdk2;Pdk1,,R-HSA-200406;R-HSA-5362564;R-HSA-203946;R-HSA-5419165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-216083,Integrin cell surface interactions,6,86,0.006035935,0.661720044,,0.792222339,9,54,0.00438739,9606,Homo sapiens,Pecam1;Col6a6;Itga6;Thbs1;Cd44;Jam2,,R-HSA-202706;R-HSA-265429;R-HSA-204434;R-HSA-210304;R-HSA-349603;R-HSA-4084903;R-HSA-2467436;R-HSA-2752115;R-HSA-2327695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9006936,Signaling by TGF-beta family members,8,114,0.008001123,0.66484578,,0.792222339,28,107,0.008693533,9606,Homo sapiens,Ppp1cb;Acvrl1;Nedd4l;Acvr2a;Ube2d1;Bmpr1a;Inhbb;Tfdp2,,R-HSA-178178;R-HSA-201475;R-HSA-2176417;R-HSA-1549526;R-HSA-2176416;R-HSA-2473184;R-HSA-8858369;R-HSA-2473186;R-HSA-201476;R-HSA-2470508;R-HSA-2176491;R-HSA-1181149;R-HSA-178189;R-HSA-201425;R-HSA-1484099;R-HSA-2176502;R-HSA-201821;R-HSA-201443;R-HSA-178218;R-HSA-173545;R-HSA-201453;R-HSA-202604;R-HSA-201457;R-HSA-1181153;R-HSA-201648;R-HSA-2470483;R-HSA-2127257;R-HSA-2169050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5619044,Defective SLC6A19 causes Hartnup disorder (HND),1,14,9.83E-04,0.664851562,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Slc6a19,,R-HSA-5659734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5659735,Defective SLC6A19 causes Hartnup disorder (HND),1,14,9.83E-04,0.664851562,,0.792222339,1,1,8.12E-05,9606,Homo sapiens,Slc6a19,,R-HSA-5659734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5682910,LGI-ADAM interactions,1,14,9.83E-04,0.664851562,,0.792222339,4,5,4.06E-04,9606,Homo sapiens,Adam22,,R-HSA-5682709;R-HSA-5682802;R-HSA-5682769;R-HSA-5682794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9013973,TICAM1-dependent activation of IRF3/IRF7,1,14,9.83E-04,0.664851562,,0.792222339,7,9,7.31E-04,9606,Homo sapiens,Tlr3,,R-HSA-9013992;R-HSA-9013979;R-HSA-9013978;R-HSA-9013985;R-HSA-9013986;R-HSA-9013990;R-HSA-9013974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5638303,Inhibition of Signaling by Overexpressed EGFR,1,14,9.83E-04,0.664851562,,0.792222339,1,2,1.62E-04,9606,Homo sapiens,Egf,,R-HSA-1225978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5638302,Signaling by Overexpressed Wild-Type EGFR in Cancer,1,14,9.83E-04,0.664851562,,0.792222339,1,2,1.62E-04,9606,Homo sapiens,Egf,,R-HSA-1225978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-8963888,Chylomicron assembly,1,14,9.83E-04,0.664851562,,0.792222339,2,5,4.06E-04,9606,Homo sapiens,Mttp,,R-HSA-174786;R-HSA-174741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-77108,Utilization of Ketone Bodies,1,14,9.83E-04,0.664851562,,0.792222339,1,3,2.44E-04,9606,Homo sapiens,Acat1,,R-HSA-74181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1483226,Synthesis of PI,1,14,9.83E-04,0.664851562,,0.792222339,1,3,2.44E-04,9606,Homo sapiens,Cds1,,R-HSA-1483121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-75205,Dissolution of Fibrin Clot,1,14,9.83E-04,0.664851562,,0.792222339,6,19,0.001543711,9606,Homo sapiens,Plau,,R-HSA-158982;R-HSA-159001;R-HSA-158942;R-HSA-158959;R-HSA-159005;R-HSA-158925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-9614399,Regulation of localization of FOXO transcription factors,1,14,9.83E-04,0.664851562,,0.792222339,1,5,4.06E-04,9606,Homo sapiens,Akt3,,R-HSA-199299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-1483248,Synthesis of PIPs at the ER membrane,1,14,9.83E-04,0.664851562,,0.792222339,1,5,4.06E-04,9606,Homo sapiens,Pi4k2b,,R-HSA-1675813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-8941332,RUNX2 regulates genes involved in cell migration,1,14,9.83E-04,0.664851562,,0.792222339,1,7,5.69E-04,9606,Homo sapiens,Akt3,,R-HSA-8939963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-3899300,SUMOylation of transcription cofactors,3,44,0.003088153,0.667199415,,0.792222339,24,27,0.002193695,9606,Homo sapiens,Sumo1;Ppargc1a;Bmi1,,R-HSA-3899291;R-HSA-3108203;R-HSA-5228521;R-HSA-3900177;R-HSA-4086036;R-HSA-3927824;R-HSA-3296126;R-HSA-3927959;R-HSA-4085331;R-HSA-4090288;R-HSA-4085296;R-HSA-3903017;R-HSA-4090284;R-HSA-4085994;R-HSA-3900047;R-HSA-3927886;R-HSA-4085992;R-HSA-4086088;R-HSA-4085318;R-HSA-3900070;R-HSA-4085347;R-HSA-4086083;R-HSA-3108209;R-HSA-3782535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-71064,Lysine catabolism,3,44,0.003088153,0.667199415,,0.792222339,5,13,0.001056224,9606,Homo sapiens,Hykk;Aadat;Aass,,R-HSA-6788611;R-HSA-508561;R-HSA-70952;R-HSA-70938;R-HSA-70940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,8,115,0.008071308,0.674144688,,0.792222339,2,16,0.001299968,9606,Homo sapiens,Cpm;Otoa;Negr1;Pigp;Rtn4rl1;Hbp1;Gpihbp1;Pigh;Plet1,,R-HSA-162730;R-HSA-8940388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-69541,Stabilization of p53,4,59,0.004140932,0.675604244,,0.792222339,9,15,0.00121872,9606,Homo sapiens,Cds1;Atm;Cdkn2a;Psmb9,,R-HSA-349444;R-HSA-6804741;R-HSA-69685;R-HSA-349426;R-HSA-6804879;R-HSA-349455;R-HSA-6804955;R-HSA-264458;R-HSA-5693609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-392170,ADP signalling through P2Y purinoceptor 12,2,30,0.002105559,0.678895277,,0.792222339,4,4,3.25E-04,9606,Homo sapiens,P2ry12;Gnai1,,R-HSA-417829;R-HSA-392195;R-HSA-392187;R-HSA-392202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-8963898,Plasma lipoprotein assembly,2,30,0.002105559,0.678895277,,0.792222339,9,19,0.001543711,9606,Homo sapiens,Abca1;Mttp,,R-HSA-174786;R-HSA-216723;R-HSA-5682103;R-HSA-5682084;R-HSA-5682101;R-HSA-216727;R-HSA-216757;R-HSA-174741;R-HSA-8866329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-8963889,Assembly of active LPL and LIPC lipase complexes,2,30,0.002105559,0.678895277,,0.792222339,4,12,9.75E-04,9606,Homo sapiens,Mbtps2;Hbp1;Gpihbp1,,R-HSA-6784676;R-HSA-6784628;R-HSA-6784620;R-HSA-8857928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-70921,Histidine catabolism,2,30,0.002105559,0.678895277,,0.792222339,2,8,6.50E-04,9606,Homo sapiens,Hdc;Hnmt,,R-HSA-175993;R-HSA-977301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5621575,CD209 (DC-SIGN) signaling,2,30,0.002105559,0.678895277,,0.792222339,2,11,8.94E-04,9606,Homo sapiens,Lyn;Rps6ka5,,R-HSA-5624486;R-HSA-5624473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-5669034,TNFs bind their physiological receptors,2,30,0.002105559,0.678895277,,0.792222339,2,13,0.001056224,9606,Homo sapiens,Tnfsf12;Tnfrsf14,,R-HSA-5676607;R-HSA-5669097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-73927,Depurination,3,45,0.003158338,0.68181987,,0.792222339,4,18,0.001462463,9606,Homo sapiens,Hist2h2be;Pot1a,,R-HSA-9629216;R-HSA-9629483;R-HSA-9629195;R-HSA-9629373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-HSA-110331,Cleavage of the damaged purine,3,45,0.003158338,0.68181987,,0.792222339,2,9,7.31E-04,9606,Homo sapiens,Hist2h2be;Pot1a,,R-HSA-9629216;R-HSA-9629483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
