Gene Name	deltaFC_Male	interaction_padj_Male	FC_Male_6hr_TGvsDMSO	padj_Male_6hr_TGvsDMSO	FC_Male_12hr_TGvsDMSO	padj_Male_12hr_TGvsDMSO
Ezh1	0.044935477	0.807198574	-0.131685092	0.107917617	-0.086749615	0.327983938
Ezh2	0.525848449	0.119008742	0.186853526	0.388381913	0.712701975	0.000253697
Ezr	-0.055786782	0.797740025	-0.390215021	8.50E-06	-0.446001803	1.56E-06
F10	-0.007513594	NA	0.268069714	0.775202121	0.26055612	0.790030302
F11	-0.24632005	NA	0.447441956	0.853746578	0.201121906	0.936999814
F11r	0.160547915	0.248674002	-0.385553521	3.73E-08	-0.225005606	0.003680656
F13a1	-1.83813422	NA	-1.755617476	0.20919631	-3.593751696	0.020885748
F2	-0.193874966	0.671737292	-0.079338067	0.770548391	-0.273213034	0.222365209
F2r	-0.970409088	0.068243942	-1.370605569	1.23E-06	-2.341014657	9.13E-14
F2rl1	0.147972252	0.58433985	-1.317969241	1.30E-28	-1.169996989	1.33E-21
F2rl3	0.686114801	0.473820656	-2.681195085	6.20E-09	-1.995080284	1.48E-05
F3	0.162296897	0.570957966	-0.095917674	0.549545246	0.066379223	0.693514749
F420014N23Rik	-0.897857162	NA	0.233327861	0.802216797	-0.664529301	0.407869089
F5	-0.736545864	0.124467413	-0.2886901	0.337754105	-1.025235964	0.0002265
F7	0.429218113	NA	-0.623158126	0.536491968	-0.193940013	0.855527448
F730043M19Rik	-2.261229811	NA	-0.509288099	0.680723056	-2.77051791	0.011981708
F8	-0.537069991	0.094758162	0.184514244	0.377362938	-0.352555747	0.076616808
F830016B08Rik	-3.461417777	NA	4.409023468	0.089146366	0.947605691	0.787977726
F8a	0.282663268	0.124082444	0.198941146	0.064923486	0.481604415	3.61E-06
Fa2h	1.18191531	0.268710952	-2.085295239	0.000245796	-0.903379929	0.135618026
Faah	0.005608784	0.982331995	-0.516949351	1.70E-09	-0.511340568	1.76E-08
Faap100	0.043793468	0.856908402	0.148987374	0.159440491	0.192780842	0.071573824
Faap20	0.432359346	0.009726953	-0.39239206	7.12E-05	0.039967287	0.755855367
Faap24	0.287189443	0.368875016	0.499246514	0.001848261	0.786435956	2.10E-06
Fabp3	-0.001859354	0.998318166	-0.425130859	0.212523579	-0.426990213	0.22964713
Fabp4	-0.617291799	0.160015401	-1.060861715	3.48E-06	-1.678153514	5.59E-12
Fabp5	0.141359513	0.850311576	0.199037485	0.590075776	0.340396998	0.32587092
Fadd	0.071504423	0.790698009	0.091771203	0.491411633	0.163275626	0.198728521
Fads1	0.09342875	0.436359213	0.518404968	5.27E-21	0.611833718	1.81E-25
Fads2	-0.725466329	0.002924434	1.077349332	1.59E-14	0.351883003	0.029074325
Fads3	0.609344986	0.437987671	0.565715303	0.165919334	1.175060289	0.005088897
Fads6	0.101460079	0.722909349	0.164489513	0.237046284	0.265949592	0.05062346
Faf1	0.17269665	0.152414143	0.469395329	4.56E-14	0.642091978	1.54E-22
Faf2	-0.041347971	0.753157846	0.167320782	0.002900957	0.125972811	0.037788598
Fah	0.221960475	0.40015235	-0.26547883	0.057572284	-0.043518355	0.796992454
Fahd1	0.101688231	0.68417052	-0.111444798	0.383659363	-0.009756567	0.948638447
Fahd2a	0.498865365	0.022178401	-0.333416409	0.012355302	0.165448956	0.256013342
Faim	0.5164623	0.029521644	0.270156236	0.065415022	0.786618537	2.32E-08
Faim2	-0.05485881	NA	2.748002098	0.310755783	2.693143289	0.391056344
Fam101a	-0.988661721	1.05E-06	-0.628031196	5.62E-07	-1.616692917	3.86E-34
Fam101b	-0.603351812	0.002870836	-0.533293001	8.50E-06	-1.136644813	3.80E-20
Fam102a	-0.169438142	0.152414143	-0.296075628	2.28E-06	-0.46551377	8.59E-13
Fam102b	-0.396641607	0.511331981	-0.684310558	0.018708701	-1.080952165	0.000393145
Fam103a1	0.054647438	0.877111267	-0.017400226	0.927454256	0.037247213	0.841612323
Fam104a	-0.081515002	0.68417052	0.292404624	0.000931626	0.210889622	0.027330846
Fam105a	0.060001883	0.849626721	-0.062579113	0.69414435	-0.00257723	0.99011636
Fam107a	-1.066155953	0.23637215	-1.479575113	0.001040838	-2.545731066	4.56E-07
Fam107b	0.283831799	0.558473965	-0.272661289	0.287306713	0.011170511	0.97278573
Fam109a	0.219439821	0.459813267	-0.485253025	0.000814215	-0.265813204	0.092614648
Fam109b	-0.392106624	0.728252558	0.14739651	0.815244476	-0.244710114	0.695646245
Fam110a	0.156056388	0.498059993	0.16874086	0.164376933	0.324797249	0.005472537
Fam110b	-0.231899623	0.431426488	-0.357153393	0.016162836	-0.589053015	8.82E-05
Fam110c	0.868742821	NA	0.326323763	0.639688821	1.195066584	0.061439472
Fam111a	-0.709337873	0.359422573	-0.868444216	0.03195363	-1.577782089	0.000107033
Fam114a1	0.192864028	0.088278243	-0.30342463	9.39E-07	-0.110560602	0.118476439
Fam114a2	0.055079561	0.782587304	0.180797625	0.03712532	0.235877186	0.007792903
Fam117a	-0.283851221	0.007103956	0.275533296	8.68E-06	-0.008317924	0.923686777
Fam117b	-0.253092895	0.102931359	0.266229681	0.002206563	0.013136786	0.910608299
Fam118a	-0.071373224	0.777085285	0.423602229	4.50E-05	0.352229005	0.001512023
Fam118b	0.038418588	0.897792223	0.167591815	0.193377191	0.206010403	0.117501981
Fam120a	0.064202566	0.556520547	0.051585493	0.383155415	0.115788059	0.036242479
Fam120aos	-0.022896845	0.933048687	-0.321650471	0.001814738	-0.344547315	0.001426907
Fam120b	-0.112146595	0.394177906	0.073546395	0.328454384	-0.0386002	0.63730496
Fam120c	-0.246338579	0.084796644	0.073686418	0.437153327	-0.172652162	0.049697843
Fam122a	0.224904175	0.129866609	0.516257625	3.43E-11	0.741161801	1.30E-19
Fam122b	-0.029686917	0.946214808	-0.504203917	0.003180251	-0.533890835	0.002498603
Fam124a	-1.383701222	NA	0.823835353	0.478419141	-0.559865869	0.650224878
Fam126a	-0.280074264	0.347252908	-0.704528737	9.99E-07	-0.984603001	2.23E-10
Fam126b	-0.404919461	0.042939384	0.08056331	0.562071747	-0.324356151	0.008445572
Fam129a	1.403805033	9.79E-28	2.074488105	3.73E-142	3.478293137	0
Fam129b	-0.015946563	0.935445679	-0.097641541	0.241553716	-0.113588104	0.177741602
Fam129c	0.963911984	0.121188995	-0.329771294	0.424848891	0.634140691	0.08843433
Fam131a	-0.496182611	0.004160625	-0.10189432	0.404144624	-0.598076931	2.22E-08
Fam131c	3.962796042	NA	-3.73760709	0.070470708	0.225188952	0.917938976
Fam132a	0.232859105	0.554993894	-0.822384393	4.88E-06	-0.589525288	0.002319523
Fam132b	0.876547524	0.40622035	1.297068475	0.008780601	2.173615999	0.0001633
Fam133b	-0.05577934	0.857312508	-0.027051222	0.869775906	-0.082830562	0.590532622
Fam134a	0.253807682	0.007036152	-0.054768853	0.407538665	0.199038828	0.000808114
Fam134b	0.447126856	0.041061855	0.220307963	0.100737407	0.667434818	2.96E-07
Fam134c	-0.211828768	0.139061053	-0.520796134	2.56E-12	-0.732624902	1.23E-20
Fam135a	-0.046332992	0.838374152	0.898987913	8.69E-26	0.852654921	1.23E-20
Fam135b	0.082245768	0.820089681	0.82646752	5.34E-09	0.908713288	1.19E-09
Fam136a	0.182038451	0.466997593	0.365094594	0.002669273	0.547133045	1.24E-05
Fam13a	-1.351035368	NA	-0.604380971	0.333286953	-1.955416339	0.001081428
Fam13b	-0.078921557	0.665803355	0.511369872	4.14E-11	0.432448315	2.00E-07
Fam13c	0.778480185	0.149758882	1.686476791	7.25E-10	2.464956976	4.25E-16
Fam149a	0.376780435	0.04267985	-0.514593951	1.01E-06	-0.137813516	0.259280997
Fam149b	0.018791802	0.940885952	0.007489509	0.954899851	0.026281311	0.834415359
Fam151a	-0.722359583	1.06E-12	-1.10907772	4.05E-68	-1.831437303	4.82E-161
Fam151b	0.148724206	0.768563873	-0.225456962	0.361204298	-0.076732755	0.779225351
Fam155a	-0.021228407	0.942933628	-0.467527062	2.17E-05	-0.488755469	2.72E-05
Fam159a	1.375452892	0.234825682	1.634084136	0.011757238	3.009537029	5.79E-07
Fam159b	-0.499129955	0.044231726	-0.465890703	0.001239591	-0.965020658	1.62E-11
Fam160a1	-0.005587808	0.984398096	-0.274582404	0.007888388	-0.280170211	0.008691405
Fam160a2	-0.177317801	0.165444276	-0.094462109	0.219622781	-0.27177991	0.000165628
Fam160b1	-0.22160128	0.063999286	-0.000280961	0.997447754	-0.221882241	0.001964508
Fam160b2	-0.035345494	0.857312508	-0.134173998	0.112176695	-0.169519492	0.04962741
Fam161a	-0.216785729	0.613622718	-0.371260867	0.065820602	-0.588046596	0.005787912
Fam161b	-0.059139183	0.862984622	0.20411224	0.177706769	0.144973057	0.371621872
Fam162a	0.66643345	0.000498627	-0.101910688	0.476091635	0.564522762	3.12E-06
Fam163a	-0.097906687	0.851739774	0.333467031	0.135339292	0.235560344	0.345740554
Fam166a	-0.477672099	NA	-3.013719997	2.71E-05	-3.491392096	6.32E-07
Fam166b	-0.226075533	NA	0.02958213	0.981094056	-0.196493402	0.860872977
Fam167a	-0.229195533	0.426476432	0.591802409	1.79E-05	0.362606875	0.017811275
Fam167b	0.266980843	0.839422494	-2.913420728	4.68E-08	-2.646439886	3.60E-07
Fam168a	-0.275855234	0.054304638	-0.184796165	0.030084307	-0.460651399	3.57E-08
Fam168b	-0.216529277	0.078516576	0.297997309	1.10E-05	0.081468032	0.315726763
Fam169a	-0.116115386	0.666779861	-0.164871627	0.217757129	-0.280987013	0.030644625
Fam169b	2.073661527	NA	0.319716495	0.920546572	2.393378022	0.443323821
Fam171a1	-0.215584595	0.210744917	-0.539831216	6.75E-10	-0.755415811	2.18E-16
Fam171a2	-0.017952109	0.989959968	-1.722736649	0.002480042	-1.740688758	0.002499939
Fam171b	0.391559623	0.007008368	0.423458816	5.58E-07	0.815018438	1.08E-20
Fam172a	-0.013811584	0.958542048	-0.131971958	0.227373577	-0.145783543	0.189448134
Fam173a	0.292502112	0.052627399	0.035505254	0.752210122	0.328007366	0.000246834
Fam173b	0.440944996	0.057915364	-0.521404838	8.91E-05	-0.080459843	0.621905772
Fam174a	0.248547037	0.129160572	0.095182864	0.364292932	0.343729902	0.000232142
Fam174b	-0.010732794	0.953288976	0.172075543	0.016217006	0.161342749	0.032555778
Fam175a	0.086750177	0.868751047	0.375218061	0.095824026	0.461968238	0.04507821
Fam175b	-0.168861165	0.194479055	0.343715208	3.34E-07	0.174854042	0.019886299
Fam178a	-0.193784292	0.221530728	0.048135657	0.641756468	-0.145648635	0.12038241
Fam179a	-0.973061555	0.017682242	-1.290498875	5.74E-09	-2.26356043	2.70E-19
Fam179b	-0.491424308	6.81E-06	0.453868993	1.14E-11	-0.037555316	0.671348378
Fam183b	-0.107989003	0.581917745	-0.944779278	2.86E-28	-1.052768281	2.52E-32
Fam184a	-0.421710033	0.019803085	0.676568503	2.77E-11	0.254858471	0.027473776
Fam184b	-1.671131796	NA	1.088793251	0.044428012	-0.582338545	0.433970165
Fam185a	0.012668653	0.965037906	0.216270848	0.053436886	0.228939501	0.048795629
Fam186b	0.640830608	NA	3.511297311	0.004883912	4.152127919	0.003009659
Fam187a	0.211923137	NA	-0.398546381	0.878894652	-0.186623244	0.952646148
Fam187b	0.19153813	0.41705905	-0.170799049	0.186832182	0.020739081	0.893146786
Fam188a	0.2333675	0.232755942	0.131449617	0.258737829	0.364817118	0.000704676
Fam188b	-0.573716987	0.027168791	0.314563335	0.04920524	-0.259153652	0.125543985
Fam189a1	-0.375497103	0.288789328	-0.45876195	0.014385582	-0.834259053	9.53E-06
Fam189a2	-0.278834711	0.643905549	-0.460893301	0.107639019	-0.739728012	0.012628975
Fam189b	-0.053078579	0.884181812	-0.680487137	1.47E-06	-0.733565716	7.07E-07
Fam192a	0.130866725	0.388980029	0.422642633	6.25E-09	0.553509358	4.76E-13
Fam193a	-0.106903343	0.508196544	0.024097126	0.81050599	-0.082806217	0.362493402
Fam193b	-0.213686361	0.13638747	-0.22441469	0.005005397	-0.438101051	4.23E-08
Fam195a	0.338229884	0.43976376	0.339342378	0.146638534	0.677572262	0.002667332
Fam195b	0.475622002	9.64E-05	0.25759453	0.000784966	0.733216531	1.32E-21
Fam196a	-1.288780338	0.016652039	1.003268424	0.001178003	-0.285511915	0.467563872
Fam196b	0.344711592	NA	-2.362687531	0.002107654	-2.01797594	0.002832445
Fam198b	-1.794749139	NA	0.110580793	0.96950015	-1.684168346	0.458211941
Fam199x	-0.491849253	0.011319306	0.188366495	0.132080295	-0.303482758	0.015343865
Fam19a1	-0.258989161	0.616640164	-0.957439252	3.75E-05	-1.216428413	4.23E-07
Fam19a3	1.640479735	NA	-1.191534538	0.374576942	0.448945198	0.748230372
Fam19a5	0.027689624	0.930776319	-1.092002342	1.58E-21	-1.064312717	9.13E-19
Fam204a	0.187901044	0.437063656	0.044138498	0.774219168	0.232039542	0.07472465
Fam206a	-0.330682395	0.044325837	0.12642241	0.231759704	-0.204259985	0.049027731
Fam207a	0.146391185	0.361309963	-0.05839464	0.54883272	0.087996545	0.35507059
Fam208a	-0.329770915	0.093354388	0.149488512	0.223700452	-0.180282403	0.145979793
Fam208b	-0.178251863	0.22077056	0.375044298	4.83E-07	0.196792435	0.017759983
Fam209	-1.481823281	NA	0.962885579	0.603442812	-0.518937702	0.780890378
Fam20a	0.121857852	0.701440413	-0.59130292	1.58E-05	-0.469445068	0.001353647
Fam20b	-0.06288872	0.589998922	-0.477746432	3.48E-21	-0.540635152	4.17E-24
Fam20c	-0.152398237	0.397711426	-0.59501443	3.16E-12	-0.747412668	9.42E-17
Fam21	-0.001783997	0.992527294	-0.01809301	0.848053373	-0.019877007	0.831767376
Fam210a	-0.351237069	0.013399325	0.525256253	8.02E-11	0.174019183	0.060659788
Fam210b	-0.53255382	4.93E-05	-1.227452795	3.41E-58	-1.760006615	8.69E-101
Fam212a	-0.585247743	0.548022744	-0.603150205	0.229256231	-1.188397948	0.01665628
Fam212b	0.336096649	0.343386619	-0.549281914	0.002165125	-0.213185265	0.312110918
Fam213a	0.155411337	0.351359517	-0.139208209	0.12853012	0.016203128	0.885145202
Fam213b	0.335649929	0.118490541	-0.487885745	3.55E-05	-0.152235815	0.262834603
Fam214a	-0.346956835	0.035168272	-0.077884714	0.491103727	-0.424841549	1.77E-05
Fam214b	-0.135913685	0.47833303	0.086278195	0.42612036	-0.049635489	0.669988551
Fam216a	-0.08897359	0.592553159	0.247597326	0.001152697	0.158623736	0.059040508
Fam217a	-1.624048437	NA	-1.286168604	0.155648312	-2.910217041	0.005326672
Fam217b	-0.070397872	0.875725016	-0.466203617	0.010964303	-0.536601489	0.004925099
Fam219a	-0.253446843	0.054454246	0.136520826	0.090658002	-0.116926017	0.169301254
Fam219aos	4.923619991	NA	-3.424533013	0.105996361	1.499086978	0.401388433
Fam219b	0.04087951	0.841291293	0.138798528	0.117645321	0.179678037	0.046638968
Fam220a	0.029737795	0.895887878	0.699869448	8.77E-17	0.729607244	2.22E-16
Fam221a	0.400199637	0.261409461	0.321907943	0.105978708	0.722107579	0.000203052
Fam221b	0.37334507	NA	0.028802317	0.96950015	0.402147387	0.556815188
Fam222a	-0.222871349	0.426554556	-0.869828514	3.11E-11	-1.092699863	3.28E-15
Fam222b	-0.152112813	0.396696855	-0.147160984	0.128706442	-0.299273797	0.001426907
Fam227a	-0.710746351	0.13475633	-0.523683865	0.054801678	-1.234430216	4.81E-06
Fam228a	-1.181447303	NA	0.001848032	0.998707805	-1.179599271	0.257750672
Fam228b	0.130042411	0.928230083	-0.329584819	0.635173098	-0.199542408	0.77472087
Fam229a	-1.392940657	NA	0.112121185	0.955535187	-1.280819471	0.53101113
Fam229b	0.558956931	0.190502566	0.200012409	0.468345132	0.758969341	0.001344662
Fam26e	-0.281783761	NA	-0.424547372	0.802736065	-0.706331133	0.654177436
Fam26f	-0.070570564	NA	-0.662170394	0.669264528	-0.732740958	0.614930512
Fam32a	0.150084276	0.485312694	-0.35524672	0.000579603	-0.205162444	0.072438085
Fam35a	-0.27873344	0.287372946	0.009116421	0.960807695	-0.26961702	0.071797713
Fam3a	0.320166049	0.04543334	0.007149184	0.955164405	0.327315232	0.000646437
Fam3c	0.167445438	0.20742568	0.3100454	8.36E-06	0.477490838	1.58E-11
Fam43a	-0.20074542	0.48578034	-1.003358839	2.46E-14	-1.204104258	4.40E-18
Fam45a	0.06816623	0.728785805	0.483241493	3.24E-09	0.551407723	1.42E-10
Fam46a	-0.255545432	0.23587523	0.398000478	0.000426463	0.142455046	0.278068362
Fam46b	1.243826359	0.284725738	0.106318848	0.894003173	1.350145207	0.039730003
Fam46c	-0.384882614	0.019090909	-1.584051414	8.45E-70	-1.968934027	6.53E-95
Fam46d	-2.003364483	0.01219021	-0.235027484	0.669317832	-2.238391967	1.81E-05
Fam49a	-1.890508977	NA	0.102486314	0.907133226	-1.788022662	0.01757042
Fam49b	-0.340341764	0.094682482	-0.122985711	0.349629385	-0.463327475	9.47E-05
Fam50a	0.57244938	1.79E-05	0.298270581	0.000452061	0.870719962	1.30E-24
Fam53a	0.079771201	0.710422894	0.432673998	2.13E-06	0.5124452	8.06E-08
Fam53b	-0.139478753	0.688186534	0.052376887	0.792644037	-0.087101867	0.650224878
Fam53c	0.078418966	0.624345306	-0.070151931	0.409985871	0.008267035	0.933575473
Fam57a	0.599710176	0.125345529	-0.404060541	0.078227795	0.195649635	0.449882901
Fam57b	-0.088943837	0.735797555	-0.74068923	7.93E-12	-0.829633067	4.14E-13
Fam58b	0.587482212	0.004399873	0.110418474	0.45316521	0.697900687	4.01E-08
Fam60a	0.422678049	0.364082277	0.358993778	0.161447679	0.781671827	0.001578414
Fam63a	0.270645162	0.106940852	0.069767049	0.535301632	0.340412211	0.000496398
Fam63b	-0.318590451	0.030750471	-0.036350881	0.741128514	-0.354941332	6.80E-05
Fam65a	-0.158821172	0.347252908	-0.31013811	0.000252336	-0.468959283	8.15E-08
Fam65b	-0.67928466	NA	0.566902265	0.693476627	-0.112382395	0.942135945
Fam69a	0.822222513	0.227446466	-0.980452738	0.008157268	-0.158230225	0.728566245
Fam69b	0.432419439	0.061877248	-0.687068905	7.95E-08	-0.254649466	0.079355915
Fam71b	2.290988809	NA	2.734144755	0.135976034	5.025133564	0.005942898
Fam71d	-4.140110094	NA	-0.443246655	0.81296209	-4.583356748	0.014458785
Fam71e1	0.675499175	0.057241402	0.020558111	0.941402426	0.696057286	0.000966573
Fam71f2	1.033578586	NA	0.655158686	0.473079831	1.688737273	0.06089
Fam72a	0.272386749	0.769411081	0.904723048	0.024207855	1.177109798	0.004708961
Fam73a	-0.149741207	0.339740744	0.0469098	0.632691528	-0.102831407	0.263234215
Fam73b	-0.002437176	0.992441495	0.313683997	0.000621002	0.31124682	0.001427562
Fam76a	-0.094173294	0.64242031	-0.099815923	0.343517668	-0.193989217	0.052833758
Fam76b	-0.657410304	0.001001479	0.301556864	0.017452013	-0.35585344	0.006736125
Fam78a	0.324741872	0.806848965	-0.98155745	0.096686353	-0.656815578	0.300744322
Fam78b	-0.370256641	0.520808836	-0.170595107	0.608177983	-0.540851748	0.074080886
Fam81a	-1.14397258	0.001268365	-0.854701311	4.01E-05	-1.998673891	4.63E-19
Fam83b	-0.35413328	0.534316104	-0.369940082	0.20456657	-0.724073362	0.013485538
Fam83d	-0.646086748	NA	-2.163322105	0.003920693	-2.809408853	0.001961238
Fam83e	0.007170057	NA	-0.821654124	0.387386786	-0.814484067	0.489466858
Fam83f	0.523616139	0.626668364	0.127105216	0.844405771	0.650721354	0.246215316
Fam83g	0.095029954	0.619025081	-0.2734749	0.001740414	-0.178444946	0.06261796
Fam83h	0.031793158	0.86618357	0.070747012	0.422819082	0.102540169	0.237836702
Fam84a	0.258082248	0.625870442	0.191488686	0.504133219	0.449570934	0.091379923
Fam84b	0.028041916	0.902827801	1.653893834	7.30E-90	1.68193575	9.58E-81
Fam89a	-0.425864519	0.728408365	-1.513905359	0.004321089	-1.939769878	0.00053677
Fam89b	0.280970149	0.128246187	0.107795702	0.358425754	0.38876585	0.000248039
Fam8a1	0.023577883	0.92991395	0.06575381	0.598426123	0.089331693	0.464787173
Fam92a	0.040817677	0.863372114	-0.055857236	0.63548911	-0.015039559	0.906344154
Fam92b	-1.217468004	0.002891659	-1.685161091	1.43E-13	-2.902629095	4.24E-30
Fam96a	0.223299981	0.302510532	-0.019130644	0.897643775	0.204169336	0.098117193
Fam96b	0.210229542	0.459918469	0.679879729	3.99E-07	0.890109271	1.51E-10
Fam98a	-0.19613876	0.155449908	0.204074084	0.007657566	0.007935324	0.93769235
Fam98b	-0.001081118	0.996287958	0.001050206	0.993363508	-3.09E-05	1
Fam98c	0.337997957	0.08218734	-0.042997905	0.763592729	0.295000053	0.01133962
Fan1	0.055778689	0.870911243	-0.347005355	0.013933805	-0.291226665	0.053250462
Fanca	0.570496529	NA	-0.458407698	0.698980293	0.112088831	0.921389478
Fancb	-0.465414306	0.646310983	0.679172407	0.176667331	0.213758101	0.71356843
Fancc	0.133867473	0.767842487	-0.452377628	0.022464076	-0.318510155	0.134378252
Fancd2	0.826111866	0.36435807	-0.645518878	0.2077594	0.180592988	0.758532049
Fance	0.113021387	0.651875797	0.002739366	0.986655221	0.115760752	0.380958564
Fancf	-0.143508309	0.733235934	-0.629921501	0.000436325	-0.77342981	4.48E-05
Fancg	0.307551346	0.552219217	-0.569152761	0.023739547	-0.261601415	0.353458699
Fanci	2.085002104	NA	-2.395113483	0.029982533	-0.310111379	0.787347749
Fancl	-0.143137934	0.715493809	0.250619713	0.180605323	0.107481778	0.616199488
Fancm	0.096947258	0.651792347	0.459701365	7.55E-07	0.556648623	1.49E-08
Fank1	-0.460922334	0.473877687	0.087759164	0.832622295	-0.373163171	0.296586814
Fap	0.362253559	NA	-0.943024199	0.391032502	-0.58077064	0.599096958
Far1	-0.636813593	0.000225895	0.68298841	3.47E-11	0.046174817	0.739427338
Far2	-2.969793177	NA	3.448058284	0.028385574	0.478265106	0.706428513
Farp1	-0.135362913	0.34414012	0.040905251	0.649668174	-0.094457662	0.259022716
Farp2	0.091341859	0.632480829	0.073721559	0.471251621	0.165063418	0.084270145
Fars2	-0.163137452	0.36331308	0.141838494	0.154496684	-0.021298958	0.858843353
Farsa	-0.002229066	0.990970823	0.430415148	2.32E-09	0.428186081	1.77E-08
Farsb	0.0826956	0.672720311	1.101661696	1.88E-42	1.184357296	4.61E-43
Fas	0.252354845	NA	0.2463063	0.695666867	0.498661146	0.414568647
Fasn	-0.137460577	0.417765202	0.34649053	2.35E-05	0.209029953	0.02063055
Fastk	0.15052482	0.280090689	0.318570828	6.14E-06	0.469095648	1.43E-10
Fastkd1	-0.222611333	0.464522156	0.225716308	0.163871202	0.003104975	0.989796388
Fastkd2	0.051655495	0.832690273	0.458989872	1.84E-06	0.510645367	4.49E-07
Fastkd3	-0.021691098	0.964675321	0.362058969	0.054569352	0.340367871	0.086953041
Fastkd5	-0.277103737	0.33225999	0.252657145	0.10372599	-0.024446592	0.900260688
Fat1	-0.374055014	0.063033886	-0.442612664	8.69E-05	-0.816667678	1.67E-12
Fat3	-0.624080049	NA	-0.344585457	0.69917395	-0.968665507	0.235851702
Fat4	0.220470398	0.702068992	-0.454424344	0.086618084	-0.233953946	0.448090857
Fau	0.614884365	0.000573817	0.16729265	0.170660166	0.782177015	2.70E-12
Faxc	-0.002751608	0.988396542	-0.26371621	0.000117773	-0.266467818	0.000248453
Fbf1	-0.003102037	0.989593269	-0.151878594	0.13233793	-0.154980631	0.135434422
Fbl	0.443985601	0.019090909	0.103422809	0.433328334	0.54740841	1.60E-06
Fblim1	0.066075596	0.949985881	-0.421642576	0.369894204	-0.35556698	0.456016469
Fbln1	-2.917706755	NA	-0.218141216	0.9406577	-3.135847971	0.23326723
Fbln2	-0.150614622	NA	-1.584539214	0.012032674	-1.735153836	0.007726408
Fbln5	0.335972348	0.508403021	-0.17002825	0.551521382	0.165944098	0.586687005
Fbln7	2.124454704	NA	-1.345355144	0.569352815	0.77909956	0.741419724
Fbn1	-1.048721657	0.137908759	-1.257184131	0.000674251	-2.305905788	1.61E-08
Fbn2	-1.936814839	NA	0.990798205	0.790953074	-0.946016633	0.77472087
Fbp1	-0.838633234	0.072700672	-0.053098072	0.879556844	-0.891731305	0.001496625
Fbp2	1.6108867	0.032893493	0.134156225	0.81156482	1.745042925	0.000172073
Fbrs	-0.241185977	0.060571126	0.225107173	0.002244024	-0.016078804	0.869316103
Fbrsl1	-0.123054574	0.59303629	-0.620127897	8.11E-10	-0.743182471	3.47E-12
Fbxl12	0.166285718	0.463657381	0.585281474	3.42E-08	0.751567192	1.11E-11
Fbxl12os	-0.149840806	0.885098715	1.005046559	0.020983853	0.855205754	0.053769452
Fbxl13	0.341471148	NA	-1.172224867	0.566564008	-0.830753719	0.610672929
Fbxl14	0.021031483	0.930776319	-0.008609664	0.945252285	0.012421819	0.921146648
Fbxl15	0.440893252	0.076318803	-0.17872485	0.26069827	0.262168403	0.09207327
Fbxl16	-0.0593225	0.693963486	-0.086009005	0.249689577	-0.145331504	0.045563867
Fbxl17	-0.289220819	0.02058836	-0.050208057	0.572616292	-0.339428876	7.42E-06
Fbxl18	-0.032624333	0.915327139	-0.264431648	0.031520488	-0.29705598	0.018980434
Fbxl19	-0.085463168	0.713340965	-0.214402232	0.04402257	-0.2998654	0.005236076
Fbxl2	-0.195807372	0.357449709	0.005288309	0.971551909	-0.190519063	0.110253359
Fbxl20	-0.043128761	0.870801278	-0.331189627	0.001865496	-0.374318388	0.000782453
Fbxl21	0.410243045	0.352777688	-0.245132928	0.345048857	0.165110117	0.542556111
Fbxl22	1.621310717	NA	-0.748412598	0.415841089	0.872898119	0.390880603
Fbxl3	0.036927786	0.855965275	0.178477823	0.034934585	0.215405609	0.013597333
Fbxl4	-0.006309769	0.980045019	0.11077592	0.279505345	0.104466152	0.322748509
Fbxl5	-0.023085578	0.921894489	-0.07828488	0.463494292	-0.101370459	0.337984558
Fbxl6	-0.097440515	0.688517438	0.322046676	0.002920629	0.224606162	0.05570672
Fbxl7	0.243106321	0.721512332	0.770306873	0.009879335	1.013413194	0.001277746
Fbxl8	0.136185152	0.776666168	-0.102148485	0.687506789	0.034036667	0.898475488
Fbxo10	0.239182953	0.083545488	0.213155161	0.00697202	0.452338114	1.23E-08
Fbxo11	-0.303865953	0.016807989	0.092465943	0.275533502	-0.21140001	0.008598435
Fbxo15	0.195748061	NA	-0.617168635	0.782316713	-0.421420574	0.856588194
Fbxo16	-0.246491964	0.353920934	0.885166838	6.43E-12	0.638674873	3.31E-06
Fbxo17	0.055276434	0.879996842	0.117096599	0.50098463	0.172373032	0.310740182
Fbxo18	-0.083935661	0.563470639	-0.13115904	0.067745094	-0.215094701	0.002559732
Fbxo2	0.349215832	0.081670062	-0.42216257	0.000173271	-0.072946738	0.60269809
Fbxo21	-0.29616582	0.01379476	-0.932124655	8.46E-45	-1.228290476	8.85E-68
Fbxo22	-0.03475506	0.874748493	0.003998404	0.973828658	-0.030756657	0.788667571
Fbxo24	0.904261552	NA	-1.903754651	0.000953334	-0.9994931	0.103884655
Fbxo25	-0.075769433	0.711515333	-0.192034657	0.039086683	-0.267804091	0.004875016
Fbxo27	0.552325782	0.168830851	-0.138041929	0.605794076	0.414283853	0.083053804
Fbxo28	-0.244767383	0.064407371	-0.040070135	0.668888288	-0.284837518	0.000306993
Fbxo3	-0.111145605	0.559494653	-0.401313623	3.43E-06	-0.512459228	1.44E-08
Fbxo30	-0.212169355	0.388659124	-0.061891168	0.683733765	-0.274060523	0.043063424
Fbxo31	0.060039753	0.825417198	0.150141609	0.221785238	0.210181362	0.085971569
