Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,transf log(1/p val),Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,Pathway name short
R-HSA-174417,Telomere C-strand (Lagging Strand) Synthesis,4,38,0.002667041,0.353460778,,0.756553507,9,14,0.001137472,9606,Homo sapiens,Pold2;Pold1;Fen1;Dna2,,R-HSA-174451;R-HSA-174448;R-HSA-174438;R-HSA-174456;R-HSA-174441;R-HSA-174446;R-HSA-176702;R-HSA-174444;R-HSA-174445,Telomere C-strand (Lagging Strand) Synthesis
R-HSA-2033514,FGFR3 mutant receptor activation,3,27,0.001895003,0.359513982,,0.756553507,9,9,7.31E-04,9606,Homo sapiens,Fgfr3,,R-HSA-2033485;R-HSA-2077420;R-HSA-2012074;R-HSA-2012073;R-HSA-2012084;R-HSA-2033476;R-HSA-2012082;R-HSA-2038387;R-HSA-2038386,FGFR3 mutant receptor activation
R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat,3,27,0.001895003,0.359513982,,0.756553507,2,2,1.62E-04,9606,Homo sapiens,Supt5;Polr2f;Nelfe,,R-HSA-167147;R-HSA-167087,Abortive elongation of HIV-1 transcript in the absence of Tat
R-HSA-166208,mTORC1-mediated signalling,3,27,0.001895003,0.359513982,,0.756553507,3,7,5.69E-04,9606,Homo sapiens,Akt1s1;Eif4ebp1;Mtor,,R-HSA-165718;R-HSA-165692;R-HSA-165708,mTORC1-mediated signalling
R-HSA-2197563,NOTCH2 intracellular domain regulates transcription,2,16,0.001122965,0.360587567,,0.756553507,9,9,7.31E-04,9606,Homo sapiens,Notch2;Mamld1,,R-HSA-2976716;R-HSA-2127285;R-HSA-2197588;R-HSA-2976551;R-HSA-2976742;R-HSA-2976726;R-HSA-2197562;R-HSA-2197564;R-HSA-2976563,NOTCH2 intracellular domain regulates transcription
R-HSA-3000484,Scavenging by Class F Receptors,2,16,0.001122965,0.360587567,,0.756553507,2,2,1.62E-04,9606,Homo sapiens,Hyou1;Calr,,R-HSA-2247514;R-HSA-2197645,Scavenging by Class F Receptors
R-HSA-418890,Role of second messengers in netrin-1 signaling,2,16,0.001122965,0.360587567,,0.756553507,3,4,3.25E-04,9606,Homo sapiens,Trpc7;Ntn1,,R-HSA-593690;R-HSA-418866;R-HSA-622390,Role of second messengers in netrin-1 signaling
R-HSA-879415,Advanced glycosylation endproduct receptor signaling,2,16,0.001122965,0.360587567,,0.756553507,3,4,3.25E-04,9606,Homo sapiens,App;Ddost,,R-HSA-879358;R-HSA-879411;R-HSA-879362,Advanced glycosylation endproduct receptor signaling
R-HSA-75892,Platelet Adhesion to exposed collagen,2,16,0.001122965,0.360587567,,0.756553507,4,6,4.87E-04,9606,Homo sapiens,Col1a2;Col1a1,,R-HSA-114577;R-HSA-114563;R-HSA-114671;R-HSA-114670,Platelet Adhesion to exposed collagen
R-HSA-69091,Polymerase switching,2,16,0.001122965,0.360587567,,0.756553507,1,4,3.25E-04,9606,Homo sapiens,Pold2;Pold1,,R-HSA-69074,Polymerase switching
R-HSA-69109,Leading Strand Synthesis,2,16,0.001122965,0.360587567,,0.756553507,1,4,3.25E-04,9606,Homo sapiens,Pold2;Pold1,,R-HSA-69074,Leading Strand Synthesis
R-HSA-1500931,Cell-Cell communication,12,133,0.009334643,0.362278039,,0.756553507,27,60,0.004874878,9606,Homo sapiens,Sdk1;Cldn6;Pard6a;Cldn9;Cadm1;Cdh11;Flna;Flnc;Cdh9;Kirrel;Plec;Sdk2,,R-HSA-446083;R-HSA-432909;R-HSA-419981;R-HSA-430347;R-HSA-451403;R-HSA-446089;R-HSA-8981534;R-HSA-373714;R-HSA-373724;R-HSA-373727;R-HSA-373722;R-HSA-373734;R-HSA-451758;R-HSA-373741;R-HSA-420586;R-HSA-532603;R-HSA-373745;R-HSA-420019;R-HSA-420595;R-HSA-373747;R-HSA-420592;R-HSA-451377;R-HSA-432956;R-HSA-446077;R-HSA-419002;R-HSA-432952;R-HSA-419001,Cell-Cell communication
R-HSA-983231,Factors involved in megakaryocyte development and platelet production,17,194,0.013615946,0.367578843,,0.756553507,8,43,0.003493663,9606,Homo sapiens,Tubb5;Tubb3;Tuba1b;Tubb2b;Ambp;Tuba1a;Tubb2a;Tubb1;Kif5a;Tuba1c;Mafg;Dock6;Klc3;Tuba4a;Gata6;Tubb4b;Tubb4a,,R-HSA-1011598;R-HSA-1008220;R-HSA-983259;R-HSA-983194;R-HSA-1008200;R-HSA-996755;R-HSA-983266;R-HSA-1008240,Factors involved in megakaryocyte development and platelet production
R-HSA-112315,Transmission across Chemical Synapses,30,353,0.024775407,0.3689261,,0.756553507,75,160,0.012999675,9606,Homo sapiens,Tuba1b;Tuba1a;Aldh5a1;Tuba1c;Ppfia3;Ppfia2;Cacng4;Grin1;Slc1a7;Adcy8;Adcy5;Ache;Ap2m1;Tubb5;Syt1;Tubb3;Tubb2b;Tubb2a;Tubb1;Gria3;Stx1a;Kcnj3;Cacfd1;Tuba4a;Grik2;Tubb4b;Grik4;Tubb4a;Cacna2d3;Cacna2d2,,R-HSA-888589;R-HSA-9609746;R-HSA-9609747;R-HSA-9609744;R-HSA-9611030;R-HSA-421007;R-HSA-392206;R-HSA-9610270;R-HSA-442760;R-HSA-374922;R-HSA-210444;R-HSA-9610653;R-HSA-9610627;R-HSA-9609728;R-HSA-1013020;R-HSA-438037;R-HSA-9609738;R-HSA-9609739;R-HSA-1013012;R-HSA-380574;R-HSA-9609737;R-HSA-372505;R-HSA-9609742;R-HSA-9609743;R-HSA-9609740;R-HSA-9609741;R-HSA-9610802;R-HSA-372519;R-HSA-432164;R-HSA-264615;R-HSA-432162;R-HSA-9612085;R-HSA-170666;R-HSA-432172;R-HSA-9618750;R-HSA-170671;R-HSA-170674;R-HSA-445367;R-HSA-372529;R-HSA-9610408;R-HSA-170686;R-HSA-9617326;R-HSA-380869;R-HSA-9610195;R-HSA-9619542;R-HSA-9610327;R-HSA-416320;R-HSA-5263618;R-HSA-451283;R-HSA-399711;R-HSA-442715;R-HSA-416985;R-HSA-380901;R-HSA-399712;R-HSA-210404;R-HSA-451310;R-HSA-451311;R-HSA-420975;R-HSA-888548;R-HSA-442732;R-HSA-451309;R-HSA-380905;R-HSA-9610750;R-HSA-9617535;R-HSA-9610879;R-HSA-420980;R-HSA-374899;R-HSA-210420;R-HSA-420977;R-HSA-416639;R-HSA-210426;R-HSA-9611368;R-HSA-9614185;R-HSA-210430;R-HSA-917744,Transmission across Chemical Synapses
R-HSA-167243,Tat-mediated HIV elongation arrest and recovery,4,39,0.002737226,0.371183974,,0.756553507,3,3,2.44E-04,9606,Homo sapiens,Supt5;Tceb2;Polr2f;Nelfe,,R-HSA-167090;R-HSA-167459;R-HSA-167148,Tat-mediated HIV elongation arrest and recovery
R-HSA-167238,Pausing and recovery of Tat-mediated HIV elongation,4,39,0.002737226,0.371183974,,0.756553507,2,2,1.62E-04,9606,Homo sapiens,Supt5;Tceb2;Polr2f;Nelfe,,R-HSA-167076;R-HSA-167150,Pausing and recovery of Tat-mediated HIV elongation
R-HSA-176187,Activation of ATR in response to replication stress,4,39,0.002737226,0.371183974,,0.756553507,2,9,7.31E-04,9606,Homo sapiens,Orc6;Mcm5;Mcm2,,R-HSA-176298;R-HSA-176318,Activation of ATR in response to replication stress
R-HSA-9013957,TLR3-mediated TICAM1-dependent programmed cell death,1,6,4.21E-04,0.377661848,,0.756553507,3,3,2.44E-04,9606,Homo sapiens,Ticam1,,R-HSA-9013963;R-HSA-9013889;R-HSA-9013895,TLR3-mediated TICAM1-dependent programmed cell death
R-HSA-1307965,betaKlotho-mediated ligand binding,1,6,4.21E-04,0.377661848,,0.756553507,2,2,1.62E-04,9606,Homo sapiens,Klb,,R-HSA-1307955;R-HSA-1307963,betaKlotho-mediated ligand binding
R-HSA-1296061,HCN channels,1,6,4.21E-04,0.377661848,,0.756553507,2,2,1.62E-04,9606,Homo sapiens,Hcn1,,R-HSA-1297444;R-HSA-1296043,HCN channels
R-HSA-5083630,Defective LFNG causes SCDO3,1,6,4.21E-04,0.377661848,,0.756553507,1,1,8.12E-05,9606,Homo sapiens,Notch2,,R-HSA-5096538,Defective LFNG causes SCDO3
R-HSA-71737,Pyrophosphate hydrolysis,1,6,4.21E-04,0.377661848,,0.756553507,1,2,1.62E-04,9606,Homo sapiens,Ppa1,,R-HSA-71732,Pyrophosphate hydrolysis
R-HSA-388479,Vasopressin-like receptors,1,6,4.21E-04,0.377661848,,0.756553507,1,3,2.44E-04,9606,Homo sapiens,Avpr1b,,R-HSA-388468,Vasopressin-like receptors
R-HSA-2142850,Hyaluronan biosynthesis and export,1,6,4.21E-04,0.377661848,,0.756553507,1,3,2.44E-04,9606,Homo sapiens,Has1,,R-HSA-2160851,Hyaluronan biosynthesis and export
R-HSA-112307,Transmission across Electrical Synapses ,1,6,4.21E-04,0.377661848,,0.756553507,1,4,3.25E-04,9606,Homo sapiens,Panx1,,R-HSA-375339,Transmission across Electrical Synapses 
R-HSA-112303,Electric Transmission Across Gap Junctions,1,6,4.21E-04,0.377661848,,0.756553507,1,4,3.25E-04,9606,Homo sapiens,Panx1,,R-HSA-375339,Electric Transmission Across Gap Junctions
R-HSA-68616,Assembly of the ORC complex at the origin of replication,1,6,4.21E-04,0.377661848,,0.756553507,1,5,4.06E-04,9606,Homo sapiens,Orc6,,R-HSA-68615,Assembly of the ORC complex at the origin of replication
R-HSA-140834,Extrinsic Pathway of Fibrin Clot Formation,1,6,4.21E-04,0.377661848,,0.756553507,1,8,6.50E-04,9606,Homo sapiens,Tfpi,,R-HSA-140825,Extrinsic Pathway of Fibrin Clot Formation
R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,20,232,0.016282987,0.378506169,,0.756553507,56,107,0.008693533,9606,Homo sapiens,Ap2m1;Tubb5;Tubb3;Tuba1b;Tubb2b;Tuba1a;Tubb2a;Tubb1;Tuba1c;Cacng4;Gria3;Kcnj3;Tuba4a;Grik2;Tubb4b;Grik4;Tubb4a;Grin1;Adcy8;Adcy5,,R-HSA-9609746;R-HSA-9609747;R-HSA-9609744;R-HSA-9611030;R-HSA-421007;R-HSA-392206;R-HSA-9610270;R-HSA-442760;R-HSA-9610653;R-HSA-9610627;R-HSA-9609728;R-HSA-1013020;R-HSA-438037;R-HSA-9609738;R-HSA-9609739;R-HSA-1013012;R-HSA-9609737;R-HSA-9609742;R-HSA-9609743;R-HSA-9609740;R-HSA-9609741;R-HSA-9610802;R-HSA-432164;R-HSA-432162;R-HSA-9612085;R-HSA-170666;R-HSA-432172;R-HSA-9618750;R-HSA-170671;R-HSA-170674;R-HSA-445367;R-HSA-9610408;R-HSA-170686;R-HSA-9617326;R-HSA-9610195;R-HSA-9619542;R-HSA-9610327;R-HSA-416320;R-HSA-451283;R-HSA-399711;R-HSA-442715;R-HSA-416985;R-HSA-399712;R-HSA-451310;R-HSA-451311;R-HSA-420975;R-HSA-442732;R-HSA-451309;R-HSA-9610750;R-HSA-9617535;R-HSA-9610879;R-HSA-420980;R-HSA-420977;R-HSA-416639;R-HSA-9611368;R-HSA-9614185,Neurotransmitter receptors and postsynaptic signal transmission
R-HSA-5663205,Infectious disease,45,540,0.037900056,0.379516778,,0.756553507,91,329,0.026730582,9606,Homo sapiens,Rps16;Fen1;Rpn1;Rpl13;Tceb2;Polr2f;Rpl38;Nelfe;Rps13;Sec13;Mvb12a;Rpl12;Rpl34;Rangap1;Rps2;Calr;Rpl10a;Psmb5;Ap2m1;Psmb4;Rps26;Psmb6;Rps28;Syt1;Rps29;Vps37b;Rps5;Rpl27a;Supt5;Rplp2;Pabpn1;Rpl27;Rps21;Stx1a;Map2k2;Rpl41;Ranbp1;Rplp0;Rplp1;Rpl13a;Sh3gl1;Rpl36al,,R-HSA-180739;R-HSA-168326;R-HSA-3159227;R-HSA-180622;R-HSA-167181;R-HSA-5211356;R-HSA-168337;R-HSA-167191;R-HSA-182171;R-HSA-167192;R-HSA-167196;R-HSA-167197;R-HSA-192925;R-HSA-9613490;R-HSA-167459;R-HSA-5244402;R-HSA-167072;R-HSA-5244404;R-HSA-167076;R-HSA-165028;R-HSA-167077;R-HSA-182186;R-HSA-9613498;R-HSA-167083;R-HSA-167087;R-HSA-167084;R-HSA-167468;R-HSA-167085;R-HSA-167597;R-HSA-167090;R-HSA-167474;R-HSA-168883;R-HSA-165043;R-HSA-168880;R-HSA-167601;R-HSA-167089;R-HSA-167478;R-HSA-182198;R-HSA-165047;R-HSA-167477;R-HSA-167098;R-HSA-167481;R-HSA-167097;R-HSA-5244397;R-HSA-181567;R-HSA-165055;R-HSA-180540;R-HSA-167484;R-HSA-192704;R-HSA-169921;R-HSA-167111;R-HSA-180555;R-HSA-167115;R-HSA-3149434;R-HSA-192841;R-HSA-167113;R-HSA-5250972;R-HSA-167118;R-HSA-184269;R-HSA-167117;R-HSA-170706;R-HSA-170704;R-HSA-167633;R-HSA-167121;R-HSA-167637;R-HSA-8876255;R-HSA-167130;R-HSA-167128;R-HSA-167134;R-HSA-182876;R-HSA-180573;R-HSA-167133;R-HSA-8876262;R-HSA-167136;R-HSA-180710;R-HSA-167147;R-HSA-1176059;R-HSA-167150;R-HSA-167148;R-HSA-3159232;R-HSA-167282;R-HSA-192627;R-HSA-5250979;R-HSA-167153;R-HSA-167537;R-HSA-167284;R-HSA-180603;R-HSA-5250986;R-HSA-167288;R-HSA-167292;R-HSA-180732,Infectious disease
R-HSA-350054,Notch-HLH transcription pathway,3,28,0.001965188,0.380772939,,0.756553507,2,2,1.62E-04,9606,Homo sapiens,Hdac4;Notch2;Mamld1,,R-HSA-212356;R-HSA-350058,Notch-HLH transcription pathway
R-HSA-8964038,LDL clearance,3,28,0.001965188,0.380772939,,0.756553507,5,19,0.001543711,9606,Homo sapiens,Ap2m1;Pcsk9;Lsr,,R-HSA-8933258;R-HSA-6784738;R-HSA-6784735;R-HSA-6784734;R-HSA-6784729,LDL clearance
R-HSA-4086400,PCP/CE pathway,9,99,0.006948344,0.382792166,,0.756553507,13,24,0.001949951,9606,Homo sapiens,Psmb5;Ap2m1;Psmb4;Pard6a;Psmb6;Dvl1;Rpn1;Cltb;Pfn1,,R-HSA-3858489;R-HSA-3858495;R-HSA-5140747;R-HSA-3858482;R-HSA-3858480;R-HSA-5138433;R-HSA-4608854;R-HSA-4608855;R-HSA-3858475;R-HSA-4608852;R-HSA-5138459;R-HSA-3965450;R-HSA-4608825,PCP/CE pathway
R-HSA-170660,Adenylate cyclase activating pathway,2,17,0.00119315,0.388575885,,0.756553507,4,4,3.25E-04,9606,Homo sapiens,Adcy8;Adcy5,,R-HSA-170672;R-HSA-170676;R-HSA-170677;R-HSA-170685,Adenylate cyclase activating pathway
R-HSA-174490,Membrane binding and targetting of GAG proteins,2,17,0.00119315,0.388575885,,0.756553507,2,4,3.25E-04,9606,Homo sapiens,Vps37b;Mvb12a,,R-HSA-3149434;R-HSA-184269,Membrane binding and targetting of GAG proteins
R-HSA-196843,Vitamin B2 (riboflavin) metabolism,2,17,0.00119315,0.388575885,,0.756553507,2,5,4.06E-04,9606,Homo sapiens,Enpp1;Cks1b,,R-HSA-196929;R-HSA-196955,Vitamin B2 (riboflavin) metabolism
R-HSA-174411,Polymerase switching on the C-strand of the telomere,2,17,0.00119315,0.388575885,,0.756553507,1,4,3.25E-04,9606,Homo sapiens,Pold2;Pold1,,R-HSA-174448,Polymerase switching on the C-strand of the telomere
R-HSA-167287,HIV elongation arrest and recovery,4,40,0.002807412,0.388871191,,0.756553507,3,3,2.44E-04,9606,Homo sapiens,Supt5;Tceb2;Polr2f;Nelfe,,R-HSA-167284;R-HSA-167288;R-HSA-167481,HIV elongation arrest and recovery
R-HSA-167290,Pausing and recovery of HIV elongation,4,40,0.002807412,0.388871191,,0.756553507,2,2,1.62E-04,9606,Homo sapiens,Supt5;Tceb2;Polr2f;Nelfe,,R-HSA-167282;R-HSA-167292,Pausing and recovery of HIV elongation
R-HSA-5387390,Hh mutants abrogate ligand secretion,6,64,0.004491859,0.394208536,,0.756553507,5,7,5.69E-04,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1;Ihh;Syvn1,,R-HSA-5387392;R-HSA-5483238;R-HSA-5387386;R-HSA-5483229;R-HSA-5387389,Hh mutants abrogate ligand secretion
R-HSA-69002,DNA Replication Pre-Initiation,8,88,0.006176305,0.394488341,,0.756553507,14,21,0.001706207,9606,Homo sapiens,Psmb5;Psmb4;Orc6;Psmb6;Rpn1;Mcm5;Mcm2,,R-HSA-68960;R-HSA-68615;R-HSA-68940;R-HSA-176973;R-HSA-68849;R-HSA-68688;R-HSA-68914;R-HSA-68917;R-HSA-68916;R-HSA-68919;R-HSA-68918;R-HSA-68825;R-HSA-68954;R-HSA-68826,DNA Replication Pre-Initiation
R-HSA-399956,CRMPs in Sema3A signaling,2,18,0.001263335,0.416006728,,0.756553507,5,5,4.06E-04,9606,Homo sapiens,Dpysl5;Plxna3,,R-HSA-399951;R-HSA-399946;R-HSA-399947;R-HSA-399931;R-HSA-399944,CRMPs in Sema3A signaling
R-HSA-170670,Adenylate cyclase inhibitory pathway,2,18,0.001263335,0.416006728,,0.756553507,5,5,4.06E-04,9606,Homo sapiens,Adcy8;Adcy5,,R-HSA-170674;R-HSA-170666;R-HSA-392206;R-HSA-170686;R-HSA-170671,Adenylate cyclase inhibitory pathway
R-HSA-5654227,Phospholipase C-mediated cascade; FGFR3,2,18,0.001263335,0.416006728,,0.756553507,3,3,2.44E-04,9606,Homo sapiens,Fgfr3,,R-HSA-5654148;R-HSA-5654224;R-HSA-5654222,Phospholipase C-mediated cascade; FGFR3
R-HSA-174495,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",2,18,0.001263335,0.416006728,,0.756553507,2,5,4.06E-04,9606,Homo sapiens,Vps37b;Mvb12a,,R-HSA-3149434;R-HSA-184269,"Synthesis And Processing Of GAG, GAGPOL Polyproteins"
R-HSA-420029,Tight junction interactions,3,30,0.002105559,0.422762091,,0.756553507,2,3,2.44E-04,9606,Homo sapiens,Cldn6;Pard6a;Cldn9,,R-HSA-420019;R-HSA-419981,Tight junction interactions
R-HSA-3295583,TRP channels,3,30,0.002105559,0.422762091,,0.756553507,1,2,1.62E-04,9606,Homo sapiens,Trpc7;Mcoln3,,R-HSA-3295579,TRP channels
R-HSA-400685,Sema4D in semaphorin signaling,3,30,0.002105559,0.422762091,,0.756553507,2,12,9.75E-04,9606,Homo sapiens,Limk1;Myh14;Myh10,,R-HSA-419087;R-HSA-419197,Sema4D in semaphorin signaling
R-HSA-8863678,Neurodegenerative Diseases,3,30,0.002105559,0.422762091,,0.756553507,3,22,0.001787455,9606,Homo sapiens,App;Lmna,,R-HSA-8870710;R-HSA-8863009;R-HSA-8868344,Neurodegenerative Diseases
R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,3,30,0.002105559,0.422762091,,0.756553507,3,22,0.001787455,9606,Homo sapiens,App;Lmna,,R-HSA-8870710;R-HSA-8863009;R-HSA-8868344,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
R-HSA-8964043,Plasma lipoprotein clearance,4,42,0.002947782,0.424003957,,0.756553507,10,35,0.002843679,9606,Homo sapiens,Ap2m1;Pcsk9;Lsr;Hdlbp,,R-HSA-8855111;R-HSA-8933258;R-HSA-8933292;R-HSA-6784738;R-HSA-6784735;R-HSA-6784734;R-HSA-8858252;R-HSA-8855131;R-HSA-8855130;R-HSA-6784729,Plasma lipoprotein clearance
R-HSA-399710,Activation of AMPA receptors,1,7,4.91E-04,0.42497191,,0.756553507,5,5,4.06E-04,9606,Homo sapiens,Gria3,,R-HSA-420980;R-HSA-399712;R-HSA-420977;R-HSA-399711;R-HSA-420975,Activation of AMPA receptors
R-HSA-190374,FGFR1c and Klotho ligand binding and activation,1,7,4.91E-04,0.42497191,,0.756553507,2,2,1.62E-04,9606,Homo sapiens,Fgfr1,,R-HSA-191062;R-HSA-190268,FGFR1c and Klotho ligand binding and activation
R-HSA-5250989,Toxicity of botulinum toxin type G (BoNT/G),1,7,4.91E-04,0.42497191,,0.756553507,3,5,4.06E-04,9606,Homo sapiens,Syt1,,R-HSA-5250979;R-HSA-5250986;R-HSA-5250972,Toxicity of botulinum toxin type G (BoNT/G)
R-HSA-69478,G2/M DNA replication checkpoint,1,7,4.91E-04,0.42497191,,0.756553507,1,2,1.62E-04,9606,Homo sapiens,Pkmyt1,,R-HSA-170055,G2/M DNA replication checkpoint
R-HSA-3296197,Hydroxycarboxylic acid-binding receptors,1,7,4.91E-04,0.42497191,,0.756553507,1,3,2.44E-04,9606,Homo sapiens,Hcar1,,R-HSA-3296326,Hydroxycarboxylic acid-binding receptors
R-HSA-420597,Nectin/Necl  trans heterodimerization,1,7,4.91E-04,0.42497191,,0.756553507,2,8,6.50E-04,9606,Homo sapiens,Cadm1,,R-HSA-420595;R-HSA-420586,Nectin/Necl  trans heterodimerization
R-HSA-447038,NrCAM interactions,1,7,4.91E-04,0.42497191,,0.756553507,1,4,3.25E-04,9606,Homo sapiens,Ank1,,R-HSA-447030,NrCAM interactions
R-HSA-5250971,Toxicity of botulinum toxin type C (BoNT/C),1,7,4.91E-04,0.42497191,,0.756553507,1,5,4.06E-04,9606,Homo sapiens,Stx1a,,R-HSA-181567,Toxicity of botulinum toxin type C (BoNT/C)
R-HSA-168316,Assembly of Viral Components at the Budding Site,1,7,4.91E-04,0.42497191,,0.756553507,1,17,0.001381215,9606,Homo sapiens,Calr,,R-HSA-169921,Assembly of Viral Components at the Budding Site
R-HSA-69306,DNA Replication,12,141,0.009896126,0.437887606,,0.756553507,27,47,0.003818655,9606,Homo sapiens,Pold2;Psmb5;Pold1;Psmb4;Fen1;Orc6;Psmb6;Rpn1;Mcm5;Dna2;Mcm2,,R-HSA-69127;R-HSA-68615;R-HSA-68940;R-HSA-176973;R-HSA-68944;R-HSA-68688;R-HSA-69074;R-HSA-69140;R-HSA-68948;R-HSA-69142;R-HSA-68825;R-HSA-69144;R-HSA-69016;R-HSA-69019;R-HSA-68954;R-HSA-68826;R-HSA-69152;R-HSA-68960;R-HSA-176942;R-HSA-68849;R-HSA-68914;R-HSA-68917;R-HSA-68916;R-HSA-68919;R-HSA-68918;R-HSA-69116;R-HSA-169468,DNA Replication
R-HSA-9013694,Signaling by NOTCH4,8,92,0.006457047,0.441672221,,0.756553507,9,20,0.001624959,9606,Homo sapiens,Psmb5;Acta2;Psmb4;Psmb6;Notch2;Rpn1;Mamld1,,R-HSA-9604642;R-HSA-9604451;R-HSA-9604550;R-HSA-9013693;R-HSA-9604471;R-HSA-9013711;R-HSA-9604664;R-HSA-9604553;R-HSA-9604446,Signaling by NOTCH4
R-HSA-69052,Switching of origins to a post-replicative state,8,92,0.006457047,0.441672221,,0.756553507,4,9,7.31E-04,9606,Homo sapiens,Psmb5;Psmb4;Orc6;Psmb6;Rpn1;Mcm5;Mcm2,,R-HSA-68944;R-HSA-68948;R-HSA-69016;R-HSA-69019,Switching of origins to a post-replicative state
R-HSA-418885,DCC mediated attractive signaling,2,19,0.00133352,0.442803198,,0.756553507,12,12,9.75E-04,9606,Homo sapiens,Ablim3;Ntn1,,R-HSA-373716;R-HSA-418868;R-HSA-418850;R-HSA-418865;R-HSA-374701;R-HSA-373711;R-HSA-418874;R-HSA-418858;R-HSA-373720;R-HSA-418856;R-HSA-418872;R-HSA-373707,DCC mediated attractive signaling
R-HSA-399954,Sema3A PAK dependent Axon repulsion,2,19,0.00133352,0.442803198,,0.756553507,6,6,4.87E-04,9606,Homo sapiens,Limk1;Plxna3,,R-HSA-399939;R-HSA-399952;R-HSA-399950;R-HSA-419644;R-HSA-419645;R-HSA-399930,Sema3A PAK dependent Axon repulsion
R-HSA-450513,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",2,19,0.00133352,0.442803198,,0.756553507,4,4,3.25E-04,9606,Homo sapiens,Zfp36;Exosc4,,R-HSA-450400;R-HSA-450463;R-HSA-450431;R-HSA-450394,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA"
R-HSA-399955,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,2,19,0.00133352,0.442803198,,0.756553507,7,8,6.50E-04,9606,Homo sapiens,Plxna3;Tln1,,R-HSA-399942;R-HSA-399941;R-HSA-399936;R-HSA-399934;R-HSA-399935;R-HSA-399933;R-HSA-399928,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
R-HSA-8849175,Threonine catabolism,2,19,0.00133352,0.442803198,,0.756553507,3,4,3.25E-04,9606,Homo sapiens,Sdsl;Gcat,,R-HSA-9014627;R-HSA-6798667;R-HSA-6798345,Threonine catabolism
R-HSA-190239,FGFR3 ligand binding and activation,2,19,0.00133352,0.442803198,,0.756553507,4,6,4.87E-04,9606,Homo sapiens,Fgfr3,,R-HSA-190385;R-HSA-190263;R-HSA-190388;R-HSA-190261,FGFR3 ligand binding and activation
R-HSA-1810476,RIP-mediated NFkB activation via ZBP1,2,19,0.00133352,0.442803198,,0.756553507,2,4,3.25E-04,9606,Homo sapiens,Nfkbib;Ticam1,,R-HSA-168910;R-HSA-168140,RIP-mediated NFkB activation via ZBP1
R-HSA-416700,Other semaphorin interactions,2,19,0.00133352,0.442803198,,0.756553507,2,9,7.31E-04,9606,Homo sapiens,Sema6a;Sema3e,,R-HSA-416723;R-HSA-416683,Other semaphorin interactions
R-HSA-446353,Cell-extracellular matrix interactions,2,19,0.00133352,0.442803198,,0.756553507,1,10,8.12E-04,9606,Homo sapiens,Flna;Flnc,,R-HSA-430347,Cell-extracellular matrix interactions
R-HSA-8949613,Cristae formation,3,31,0.002175744,0.443396287,,0.756553507,1,2,1.62E-04,9606,Homo sapiens,Atp5g1;Atp5e,,R-HSA-8949580,Cristae formation
R-HSA-180585,Vif-mediated degradation of APOBEC3G,5,56,0.003930376,0.453879725,,0.756553507,3,4,3.25E-04,9606,Homo sapiens,Psmb5;Psmb4;Psmb6;Rpn1;Tceb2,,R-HSA-180603;R-HSA-180555;R-HSA-180540,Vif-mediated degradation of APOBEC3G
R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes,7,81,0.005685008,0.458061629,,0.756553507,3,3,2.44E-04,9606,Homo sapiens,Tubb5;Tubb2b;Tuba1a;Tuba4a;Tubb4b;Tubb4a;Tubg1,,R-HSA-380311;R-HSA-380455;R-HSA-380283,Recruitment of mitotic centrosome proteins and complexes
R-HSA-196757,Metabolism of folate and pterines,4,44,0.003088153,0.458612221,,0.756553507,5,29,0.002356191,9606,Homo sapiens,Shmt2;Fpgs;Aldh1l2,,R-HSA-6808487;R-HSA-197958;R-HSA-200682;R-HSA-200681;R-HSA-5694137,Metabolism of folate and pterines
R-HSA-422356,Regulation of insulin secretion,9,106,0.007439641,0.460124375,,0.756553507,13,34,0.002762431,9606,Homo sapiens,Gnas;Gcg;Kcnc2;Adcy8;Cacna2d2;Adcy5;Itpr1;Stx1a,,R-HSA-381607;R-HSA-400097;R-HSA-400046;R-HSA-381612;R-HSA-265645;R-HSA-381644;R-HSA-265166;R-HSA-381704;R-HSA-381706;R-HSA-169683;R-HSA-169680;R-HSA-381713;R-HSA-422320,Regulation of insulin secretion
